sample,time,window,precision,modulation,band,power,payload,crc,tx2rxdone
1898,54:56.8,1,2.00E-07,5,24,-2,242,FALSE,
1899,55:44.3,10,5.00E-07,1,8,9,183,FALSE,3.655852683
1900,55:52.6,1,2.00E-07,3,14,10,64,FALSE,0.381216876
1901,55:53.8,0.02,2.00E-07,9,34,14,152,FALSE,0.006748467
1902,56:02.5,1,2.00E-07,1,49,16,17,FALSE,0.624857725
1903,56:03.8,0.02,2.00E-07,8,27,11,86,TRUE,0.006580466
1904,56:12.3,1,2.00E-07,3,19,4,63,TRUE,0.381260476
1905,56:13.4,0.02,2.00E-07,8,41,20,85,FALSE,0.006387464
1906,56:28.6,4,8.00E-07,1,36,15,89,TRUE,2.017387603
1907,57:37.5,20,1.00E-06,0,3,13,190,FALSE,6.821990341
1908,58:20.9,10,5.00E-07,2,23,2,244,TRUE,
1909,59:16.4,10,5.00E-07,1,18,17,217,FALSE,4.311130216
1910,59:19.0,0.4,4.00E-07,7,13,4,240,FALSE,0.128757729
1911,59:21.5,0.4,4.00E-07,3,9,11,25,TRUE,0.217337817
1912,00:08.1,10,5.00E-07,1,29,11,225,TRUE,4.475006724
1913,00:09.3,0.02,2.00E-07,8,5,20,143,TRUE,0.010227302
1914,00:11.7,0.2,2.00E-07,7,35,-1,122,TRUE,0.06983887
1915,00:20.1,1,2.00E-07,4,34,22,146,FALSE,0.415948283
1916,00:21.4,0.02,2.00E-07,9,50,-2,128,FALSE,0.005787658
1917,00:22.4,0.002,2.00E-07,9,25,20,10,FALSE,0.001067907
1918,00:23.6,0.02,2.00E-07,8,7,9,71,FALSE,0.005492255
1919,00:24.8,0.04,4.00E-07,8,16,1,211,FALSE,0.014453745
1920,00:27.4,0.4,4.00E-07,6,36,2,178,TRUE,0.165098165
1921,00:38.5,2,4.00E-07,4,15,14,229,TRUE,0.631025326
1922,00:49.4,2,4.00E-07,2,15,-3,78,TRUE,0.844532569
1923,00:51.7,0.2,2.00E-07,7,24,2,113,FALSE,0.064679265
1924,00:54.0,0.1,1.00E-07,6,3,13,37,FALSE,0.044699245
1925,00:56.6,0.4,4.00E-07,5,41,-2,100,TRUE,0.172174172
1926,00:59.1,0.4,4.00E-07,6,21,21,133,FALSE,0.126618527
1927,01:30.0,0.4,4.00E-07,7,27,19,243,TRUE,
1928,02:37.8,20,1.00E-06,0,19,10,204,TRUE,7.477184374
1929,02:39.1,0.02,2.00E-07,9,38,22,213,FALSE,0.009189092
1930,02:50.0,2,4.00E-07,3,46,-3,182,TRUE,0.934114987
1931,03:36.3,10,5.00E-07,1,2,-1,99,TRUE,2.181264109
1932,03:45.3,1,2.00E-07,4,3,2,90,FALSE,0.272584855
1933,04:31.7,10,5.00E-07,1,12,9,192,TRUE,3.901508195
1934,04:34.3,0.4,4.00E-07,5,13,15,95,FALSE,0.161934562
1935,04:45.9,2,4.00E-07,3,44,-3,169,TRUE,0.872693375
1936,05:29.2,10,5.00E-07,1,2,19,246,TRUE,
1937,05:47.0,1,2.00E-07,3,50,16,55,FALSE,0.340256868
1938,06:02.4,4,8.00E-07,2,41,11,147,TRUE,1.377167475
1939,06:11.2,1,2.00E-07,2,24,-1,44,TRUE,0.557858112
1940,06:12.3,0.01,1.00E-07,8,6,-3,47,FALSE,0.00395734
1941,06:14.8,0.4,4.00E-07,4,7,17,64,FALSE,0.211067411
1942,06:23.2,1,2.00E-07,5,46,20,144,TRUE,0.233696047
1943,06:34.1,2,4.00E-07,1,50,20,39,TRUE,1.116253823
1944,06:36.3,0.1,1.00E-07,6,1,20,30,TRUE,0.03962054
1945,06:44.7,1,2.00E-07,4,37,15,131,TRUE,0.385184077
1946,06:46.0,0.02,2.00E-07,8,20,6,120,TRUE,0.008757088
1947,06:48.6,0.2,2.00E-07,7,7,20,184,FALSE,0.100559301
1948,06:49.8,0.02,2.00E-07,8,50,21,87,TRUE,0.006644266
1949,07:58.7,20,1.00E-06,0,47,9,169,FALSE,6.166594308
1950,07:59.9,0.02,2.00E-07,9,15,2,117,TRUE,0.005428654
1951,08:02.2,0.2,2.00E-07,5,47,3,31,FALSE,0.06973587
1952,08:04.5,0.2,2.00E-07,4,26,1,23,FALSE,0.098548899
1953,08:15.6,2,4.00E-07,2,32,13,61,TRUE,0.680817736
1954,08:24.2,1,2.00E-07,5,42,21,217,FALSE,0.341113468
1955,08:26.5,0.2,2.00E-07,6,39,4,51,TRUE,0.057539458
1956,08:28.6,0.1,1.00E-07,6,45,12,38,FALSE,0.044742345
1957,09:15.1,10,5.00E-07,0,22,13,71,FALSE,3.053540153
1958,09:46.1,0.04,4.00E-07,8,11,14,251,TRUE,
1959,09:47.3,0.01,1.00E-07,8,39,17,42,TRUE,0.003762838
1960,09:56.3,1,2.00E-07,4,16,9,109,FALSE,0.323746865
1961,09:58.8,0.4,4.00E-07,3,39,11,26,TRUE,0.217380617
1962,10:46.0,10,5.00E-07,0,3,20,130,FALSE,4.855932743
1963,11:32.5,10,5.00E-07,1,37,12,101,TRUE,2.181343109
1964,11:33.8,0.02,2.00E-07,9,30,16,231,TRUE,0.0099905
1965,11:36.3,0.2,2.00E-07,5,45,0,47,FALSE,0.09029769
1966,11:38.8,0.4,4.00E-07,5,36,14,105,FALSE,0.177278577
1967,11:40.0,0.04,4.00E-07,8,27,6,163,FALSE,0.011380914
1968,11:42.3,0.1,1.00E-07,6,20,6,13,TRUE,0.024300824
1969,11:51.1,1,2.00E-07,4,22,17,108,TRUE,0.323785665
1970,11:53.3,0.2,2.00E-07,5,1,4,47,FALSE,0.09029509
1971,12:02.4,1,2.00E-07,5,2,9,173,TRUE,0.279673256
1972,12:03.6,0.02,2.00E-07,8,45,20,142,FALSE,0.0100363
1973,12:50.6,10,5.00E-07,0,27,16,122,TRUE,4.692051235
1974,12:59.2,1,2.00E-07,1,37,-3,3,FALSE,0.379151676
1975,13:00.4,0.01,1.00E-07,9,45,15,77,FALSE,0.003746937
1976,13:11.7,2,4.00E-07,3,50,5,131,FALSE,0.688394938
1977,13:27.2,4,8.00E-07,1,3,18,72,TRUE,1.689749138
1978,13:35.2,1,2.00E-07,3,28,20,52,TRUE,0.340217268
1979,13:37.7,0.2,2.00E-07,5,8,21,43,TRUE,0.09021529
1980,13:40.3,0.4,4.00E-07,6,30,10,119,TRUE,0.116379716
1981,13:48.6,1,2.00E-07,6,47,19,237,FALSE,0.213738843
1982,13:59.5,2,4.00E-07,3,32,4,131,FALSE,0.688394938
1983,14:02.1,0.4,4.00E-07,5,16,-1,103,FALSE,0.172217372
1984,14:12.7,2,4.00E-07,2,10,11,61,TRUE,0.680815336
1985,14:13.9,0.01,1.00E-07,8,48,16,61,TRUE,0.00498025
1986,14:29.2,4,8.00E-07,3,27,0,227,TRUE,1.138911428
1987,15:38.0,20,1.00E-06,0,26,15,198,FALSE,7.149586357
1988,15:53.2,4,8.00E-07,2,20,17,160,TRUE,1.4999683
1989,16:02.3,1,2.00E-07,5,12,2,232,TRUE,0.366692073
1990,16:13.2,2,4.00E-07,1,16,20,22,TRUE,0.788620158
1991,16:15.6,0.2,2.00E-07,5,35,20,48,FALSE,0.09033449
1992,16:46.6,0.4,4.00E-07,7,30,-3,253,TRUE,
1993,16:48.0,0.02,2.00E-07,9,9,8,225,FALSE,0.009669497
1994,16:56.8,1,2.00E-07,4,10,6,136,FALSE,0.395386079
1995,17:05.7,1,2.00E-07,3,24,10,95,FALSE,0.524558705
1996,17:07.0,0.02,2.00E-07,9,17,8,201,TRUE,0.008788088
1997,17:16.1,1,2.00E-07,3,3,3,76,FALSE,0.442598689
1998,17:47.1,0.4,4.00E-07,7,35,1,252,FALSE,
1999,18:55.8,20,1.00E-06,0,31,16,143,TRUE,5.347444267
2000,18:57.1,0.02,2.00E-07,9,31,14,139,FALSE,0.006229062
2001,19:08.0,2,4.00E-07,4,2,-1,206,FALSE,0.569546114
2002,19:09.1,0.01,1.00E-07,9,43,15,83,FALSE,0.00398704
2003,19:20.1,2,4.00E-07,2,32,-1,86,FALSE,0.885534977
2004,19:21.2,0.01,1.00E-07,9,43,4,50,FALSE,0.002668227
2005,19:22.5,0.02,2.00E-07,9,21,0,213,TRUE,0.009268693
2006,20:05.8,10,5.00E-07,1,35,-2,247,FALSE,
2007,20:17.4,0.4,4.00E-07,3,9,9,16,TRUE,0.176378976
2008,20:26.6,1,2.00E-07,3,15,6,66,TRUE,0.40167988
2009,20:37.3,2,4.00E-07,3,49,20,109,FALSE,0.586017317
2010,21:46.6,20,1.00E-06,0,45,1,163,FALSE,6.0027103
2011,21:49.3,0.4,4.00E-07,4,51,7,60,TRUE,0.200909401
2012,22:20.2,0.4,4.00E-07,7,18,21,246,FALSE,
2013,22:29.2,1,2.00E-07,3,47,-1,43,TRUE,0.29925706
2014,22:31.6,0.4,4.00E-07,5,16,13,117,FALSE,0.192697793
2015,22:40.2,1,2.00E-07,4,20,-1,108,TRUE,0.323786065
2016,22:41.5,0.02,2.00E-07,8,50,20,134,FALSE,0.009522895
2017,22:42.7,0.01,1.00E-07,9,42,2,112,TRUE,0.005227952
2018,22:44.0,0.02,2.00E-07,8,50,8,137,FALSE,0.009715297
2019,22:46.6,0.4,4.00E-07,5,5,15,89,FALSE,0.151737352
2020,22:55.1,1,2.00E-07,5,12,1,224,FALSE,0.35135547
2021,23:06.0,2,4.00E-07,2,50,9,98,TRUE,1.008370602
2022,23:16.7,2,4.00E-07,3,5,18,149,TRUE,0.770392954
2023,23:25.7,1,2.00E-07,4,26,10,149,TRUE,0.426224085
2024,23:36.8,2,4.00E-07,3,33,19,186,FALSE,0.934193787
2025,23:52.1,4,8.00E-07,2,46,-2,197,FALSE,1.786689157
2026,23:53.1,0.004,4.00E-07,9,40,12,35,FALSE,
2027,24:01.7,1,2.00E-07,4,24,15,134,TRUE,0.395384679
2028,24:03.0,0.02,2.00E-07,9,46,4,116,TRUE,0.005387454
2029,24:50.5,10,5.00E-07,1,5,17,111,TRUE,2.426965121
2030,25:37.1,10,5.00E-07,0,0,14,126,TRUE,4.855847743
2031,25:45.5,1,2.00E-07,3,40,9,40,FALSE,0.278758056
2032,25:48.2,0.4,4.00E-07,7,39,2,202,TRUE,0.110799711
2033,25:50.7,0.4,4.00E-07,7,46,15,214,TRUE,0.117178117
2034,25:53.4,0.4,4.00E-07,7,12,4,239,FALSE,0.128717729
2035,25:54.4,0.004,4.00E-07,8,1,1,6,TRUE,0.001460946
2036,25:55.6,0.01,1.00E-07,9,1,0,111,TRUE,0.005187452
2037,25:56.9,0.02,2.00E-07,9,44,-3,214,FALSE,0.009228092
2038,26:11.9,4,8.00E-07,1,12,13,74,TRUE,1.689829138
2039,26:22.9,2,4.00E-07,2,43,4,104,FALSE,1.008533402
2040,27:09.8,10,5.00E-07,1,24,15,141,FALSE,2.918516646
2041,27:12.1,0.1,1.00E-07,7,28,1,58,TRUE,0.036599737
2042,27:14.5,0.4,4.00E-07,4,11,-3,59,TRUE,0.200866201
2043,27:17.2,0.4,4.00E-07,7,35,12,239,FALSE,0.128721329
2044,27:25.6,1,2.00E-07,5,30,-2,169,FALSE,0.269473054
2045,28:34.0,20,1.00E-06,0,26,3,148,TRUE,5.511278276
2046,29:05.7,1,2.00E-07,6,27,15,252,FALSE,
2047,29:09.0,0.4,4.00E-07,7,26,13,220,FALSE,0.118522119
2048,30:17.8,20,1.00E-06,0,49,16,209,TRUE,7.641025382
2049,30:20.1,0.1,1.00E-07,7,18,15,82,FALSE,0.048101748
2050,30:21.3,0.02,2.00E-07,6,3,3,2,FALSE,0.014067541
2051,31:29.7,20,1.00E-06,0,40,10,184,FALSE,6.658114333
2052,31:40.5,2,4.00E-07,2,8,-2,87,TRUE,0.885652977
2053,31:43.1,0.4,4.00E-07,7,23,5,229,FALSE,0.123602124
2054,32:30.1,10,5.00E-07,1,32,17,182,TRUE,3.655891683
2055,33:03.1,2,4.00E-07,4,8,8,247,TRUE,
2056,34:13.5,20,1.00E-06,0,49,4,144,FALSE,5.347402267
2057,34:15.8,0.2,2.00E-07,7,44,16,175,TRUE,0.096738697
2058,34:17.1,0.04,4.00E-07,8,2,1,226,FALSE,0.015410954
2059,35:04.0,10,5.00E-07,0,41,8,122,FALSE,4.691972235
2060,35:12.5,1,2.00E-07,1,10,-3,11,TRUE,0.542958709
2061,36:20.8,20,1.00E-06,0,29,0,238,FALSE,8.460293423
2062,36:22.0,0.02,2.00E-07,9,28,8,143,FALSE,0.006387264
2063,37:08.9,10,5.00E-07,1,14,18,194,TRUE,3.901589695
2064,37:24.1,4,8.00E-07,1,19,7,56,TRUE,1.362153072
2065,37:25.1,0.004,4.00E-07,9,35,22,28,TRUE,0.001868187
2066,38:11.8,10,5.00E-07,1,20,10,214,FALSE,4.229265711
2067,38:13.1,0.02,2.00E-07,8,44,17,120,TRUE,0.008756488
2068,38:15.7,0.4,4.00E-07,6,8,21,113,FALSE,0.108740109
2069,38:16.9,0.01,1.00E-07,8,38,5,44,FALSE,0.003763238
2070,38:17.9,0.004,4.00E-07,9,20,22,38,FALSE,0.002187819
2071,38:19.1,0.02,2.00E-07,8,47,12,138,FALSE,0.009779698
2072,38:21.4,0.2,2.00E-07,6,30,2,59,TRUE,0.065181065
2073,38:22.5,0.01,1.00E-07,8,4,18,59,TRUE,0.004853649
2074,38:37.9,4,8.00E-07,0,6,13,19,TRUE,1.415152283
2075,38:46.6,1,2.00E-07,6,10,8,238,FALSE,0.216219443
2076,38:55.0,1,2.00E-07,4,25,21,130,FALSE,0.374987675
2077,38:57.3,0.1,1.00E-07,7,18,14,38,FALSE,0.026278926
2078,38:59.6,0.2,2.00E-07,4,6,20,24,FALSE,0.108667709
2079,39:01.8,0.1,1.00E-07,7,19,11,33,FALSE,0.023719524
2080,39:04.4,0.4,4.00E-07,6,8,20,135,FALSE,0.126701327
2081,39:06.9,0.4,4.00E-07,5,16,7,119,FALSE,0.197754198
2082,39:38.6,1,2.00E-07,6,5,21,250,TRUE,
2083,39:41.6,0.1,1.00E-07,7,44,14,43,TRUE,0.028919729
2084,40:49.9,20,1.00E-06,0,28,19,189,TRUE,6.985668349
2085,40:52.5,0.4,4.00E-07,6,17,1,119,FALSE,0.113859714
2086,41:03.9,2,4.00E-07,4,17,7,213,TRUE,0.590062518
2087,41:12.4,1,2.00E-07,1,10,0,8,TRUE,0.542839109
2088,41:27.7,4,8.00E-07,2,22,9,180,TRUE,1.663805933
2089,41:36.4,1,2.00E-07,5,26,12,147,FALSE,0.238713448
2090,41:44.9,1,2.00E-07,5,28,12,216,TRUE,0.341152668
2091,42:31.5,10,5.00E-07,0,27,22,52,FALSE,2.39822312
2092,42:32.5,0.004,4.00E-07,8,38,1,11,FALSE,0.001651765
2093,42:41.6,1,2.00E-07,6,9,1,232,FALSE,0.211102242
2094,42:44.0,0.4,4.00E-07,4,16,11,40,FALSE,0.14962655
2095,42:59.1,4,8.00E-07,3,0,7,222,TRUE,1.09811062
2096,43:14.5,4,8.00E-07,0,26,8,24,FALSE,1.415273083
2097,43:23.0,1,2.00E-07,4,25,17,116,TRUE,0.344264869
2098,43:24.2,0.02,2.00E-07,8,35,4,83,FALSE,0.006259863
2099,43:32.7,1,2.00E-07,5,13,10,137,FALSE,0.223373245
2100,43:33.9,0.02,2.00E-07,9,46,8,159,TRUE,0.007109071
2101,43:35.1,0.02,2.00E-07,9,23,5,205,TRUE,0.008947889
2102,43:50.1,4,8.00E-07,2,11,1,202,FALSE,1.827643566
2103,44:23.1,2,4.00E-07,4,12,2,246,FALSE,
2104,44:35.8,2,4.00E-07,3,19,8,186,TRUE,0.934277387
2105,44:38.6,0.4,4.00E-07,6,7,14,193,TRUE,0.177897778
2106,44:39.7,0.01,1.00E-07,9,10,9,74,TRUE,0.003708437
2107,44:40.7,0.002,2.00E-07,9,48,-2,8,FALSE,0.000988699
2108,45:27.0,10,5.00E-07,1,22,6,187,TRUE,3.737830187
2109,45:29.4,0.2,2.00E-07,7,35,22,98,FALSE,0.056998657
2110,46:38.6,20,1.00E-06,0,16,15,178,TRUE,6.494314325
2111,46:39.7,0.004,4.00E-07,9,35,14,37,TRUE,0.002227423
2112,46:55.1,4,8.00E-07,0,45,6,23,TRUE,1.415311483
2113,47:42.2,10,5.00E-07,0,9,17,52,TRUE,2.39830562
2114,47:44.7,0.4,4.00E-07,7,14,16,192,FALSE,0.104418104
2115,48:00.2,4,8.00E-07,2,39,-1,208,TRUE,1.909484382
2116,48:02.6,0.4,4.00E-07,5,13,18,92,FALSE,0.156834557
2117,48:05.0,0.2,2.00E-07,6,30,15,95,TRUE,0.095901496
2118,48:06.2,0.02,2.00E-07,9,30,20,231,TRUE,0.0099873
2119,48:53.5,10,5.00E-07,0,1,8,127,TRUE,4.855887243
2120,49:08.8,4,8.00E-07,2,46,13,135,TRUE,1.295169059
2121,49:17.8,1,2.00E-07,5,48,6,232,FALSE,0.361635472
2122,50:03.8,10,5.00E-07,1,3,1,220,FALSE,4.311248716
2123,50:12.4,1,2.00E-07,5,16,2,152,FALSE,0.243896649
2124,50:13.6,0.01,1.00E-07,9,47,4,72,FALSE,0.003547135
2125,50:16.0,0.1,1.00E-07,7,0,19,43,TRUE,0.028920229
2126,51:03.2,10,5.00E-07,1,44,9,103,TRUE,2.263162613
2127,51:50.1,10,5.00E-07,1,36,0,196,FALSE,3.901592195
2128,51:52.8,0.2,2.00E-07,6,24,13,104,TRUE,0.103578304
2129,51:54.0,0.01,1.00E-07,9,5,14,100,TRUE,0.004748047
2130,52:09.4,4,8.00E-07,3,48,4,209,TRUE,1.056993811
2131,52:10.4,0.004,4.00E-07,8,4,20,17,FALSE,0.002035804
2132,52:11.7,0.02,2.00E-07,9,43,18,191,TRUE,0.008389484
2133,52:22.7,2,4.00E-07,0,40,18,4,TRUE,0.923638185
2134,52:53.7,0.4,4.00E-07,7,26,13,252,FALSE,
2135,52:56.4,0.2,2.00E-07,7,25,11,90,TRUE,0.053221453
2136,53:11.7,4,8.00E-07,2,20,1,167,FALSE,1.540926708
2137,53:26.8,4,8.00E-07,1,27,14,66,TRUE,1.607768322
2138,54:10.2,10,5.00E-07,2,42,6,242,TRUE,
2139,54:20.4,0.01,1.00E-07,8,15,-3,25,TRUE,0.002674627
2140,54:52.1,1,2.00E-07,6,22,10,249,TRUE,
2141,55:39.4,10,5.00E-07,0,7,22,101,TRUE,
2142,55:41.9,0.4,4.00E-07,2,7,3,5,TRUE,0.23022023
2143,55:44.2,0.1,1.00E-07,7,26,14,48,TRUE,0.031478631
2144,55:59.4,4,8.00E-07,3,49,6,234,FALSE,1.159409832
2145,56:14.6,4,8.00E-07,2,21,16,229,FALSE,2.032521207
2146,56:17.2,0.4,4.00E-07,6,8,1,194,FALSE,0.177862578
2147,56:19.7,0.4,4.00E-07,7,18,20,217,TRUE,0.118478518
2148,56:35.2,4,8.00E-07,3,44,-1,237,FALSE,1.159533832
2149,57:22.9,10,5.00E-07,1,42,22,133,FALSE,2.754722138
2150,57:53.8,0.04,4.00E-07,8,25,19,242,TRUE,
2151,58:09.3,4,8.00E-07,1,43,20,90,TRUE,2.017428403
2152,58:20.1,2,4.00E-07,3,33,18,152,TRUE,0.790812558
2153,58:22.6,0.4,4.00E-07,2,23,5,6,FALSE,0.23017863
2154,58:23.8,0.02,2.00E-07,8,15,21,71,FALSE,0.005492255
2155,59:10.4,10,5.00E-07,1,36,21,101,TRUE,2.181348109
2156,59:57.1,10,5.00E-07,0,36,10,89,TRUE,3.708894685
2157,59:59.3,0.1,1.00E-07,5,45,5,20,TRUE,0.054434454
2158,00:46.5,10,5.00E-07,1,23,22,193,FALSE,3.819729691
2159,00:47.7,0.02,2.00E-07,8,42,19,104,TRUE,0.007731477
2160,00:50.1,0.4,4.00E-07,4,27,-2,37,TRUE,0.13950654
2161,00:51.4,0.02,2.00E-07,8,44,17,138,TRUE,0.009908299
2162,00:52.7,0.04,4.00E-07,8,30,22,182,FALSE,0.012594926
2163,01:03.6,2,4.00E-07,4,22,1,225,FALSE,0.620703724
2164,01:12.1,1,2.00E-07,3,33,21,57,FALSE,0.340337068
2165,01:13.4,0.04,4.00E-07,8,16,20,230,FALSE,0.015668157
2166,01:28.8,4,8.00E-07,2,18,18,153,FALSE,1.418088284
2167,01:29.9,0.04,4.00E-07,7,38,15,23,FALSE,0.018600186
2168,02:00.9,0.04,4.00E-07,9,16,6,253,FALSE,
2169,02:57.2,20,1.00E-06,0,8,0,242,FALSE,
2170,03:16.5,0.02,2.00E-07,9,23,9,184,TRUE,0.008108681
2171,03:18.8,0.1,1.00E-07,7,33,11,70,FALSE,0.041721742
2172,03:34.2,4,8.00E-07,2,45,15,221,TRUE,1.991521998
2173,04:30.5,20,1.00E-06,0,17,18,249,FALSE,
2174,04:49.8,0.01,1.00E-07,9,35,-2,90,TRUE,0.004347543
2175,04:58.6,1,2.00E-07,4,41,14,99,TRUE,0.303266861
2176,05:45.5,10,5.00E-07,1,1,18,184,FALSE,3.655891683
2177,05:48.1,0.4,4.00E-07,6,28,-2,185,TRUE,0.172701773
2178,05:50.4,0.1,1.00E-07,6,28,13,43,FALSE,0.04982035
2179,05:53.0,0.4,4.00E-07,7,21,14,231,FALSE,0.124861325
2180,06:01.7,1,2.00E-07,4,45,22,182,FALSE,0.508103302
2181,06:10.4,1,2.00E-07,4,25,14,91,FALSE,0.272626055
2182,06:26.2,4,8.00E-07,2,11,2,139,TRUE,1.336091467
2183,06:41.3,4,8.00E-07,2,14,15,177,TRUE,1.622927525
2184,06:56.3,4,8.00E-07,3,28,18,211,FALSE,1.056993811
2185,06:57.3,0.002,2.00E-07,9,39,22,7,TRUE,0.001028103
2186,07:05.8,1,2.00E-07,3,24,19,73,FALSE,0.422176484
2187,07:08.3,0.4,4.00E-07,3,49,22,13,FALSE,0.155878956
2188,07:10.9,0.4,4.00E-07,6,33,8,151,FALSE,0.141978942
2189,07:41.9,0.4,4.00E-07,7,29,22,241,FALSE,
2190,07:51.0,1,2.00E-07,5,20,2,207,FALSE,0.325773265
2191,07:59.8,1,2.00E-07,5,4,15,203,FALSE,0.320633264
2192,08:46.2,10,5.00E-07,0,9,21,117,FALSE,4.528130726
2193,08:55.0,1,2.00E-07,5,50,5,227,FALSE,0.356456671
2194,08:56.0,0.004,4.00E-07,9,12,16,31,FALSE,0.001908191
2195,08:58.4,0.2,2.00E-07,3,51,8,7,TRUE,0.135418535
2196,09:09.1,2,4.00E-07,1,15,-3,45,FALSE,1.116414623
2197,09:18.2,1,2.00E-07,5,17,19,230,FALSE,0.356575671
2198,10:05.2,10,5.00E-07,0,23,21,79,FALSE,3.217497161
2199,11:13.4,20,1.00E-06,0,23,-2,189,TRUE,6.985667349
2200,11:29.0,4,8.00E-07,0,27,15,37,FALSE,1.906709981
2201,11:30.2,0.04,4.00E-07,8,35,20,207,FALSE,0.014195342
2202,11:32.7,0.4,4.00E-07,2,29,16,10,FALSE,0.271099071
2203,11:35.2,0.4,4.00E-07,5,15,16,99,FALSE,0.167077767
2204,11:37.7,0.2,2.00E-07,7,43,4,160,FALSE,0.087798288
2205,11:46.2,1,2.00E-07,4,41,-1,179,TRUE,0.508063302
2206,11:48.6,0.4,4.00E-07,6,28,12,125,TRUE,0.121500922
2207,12:04.1,4,8.00E-07,1,33,2,60,TRUE,1.444052289
2208,12:06.6,0.4,4.00E-07,6,23,22,179,FALSE,0.165058165
2209,12:15.5,1,2.00E-07,2,2,2,21,FALSE,0.353057071
2210,12:18.0,0.4,4.00E-07,6,10,12,223,FALSE,0.203418203
2211,12:20.5,0.4,4.00E-07,7,40,21,186,TRUE,0.103078903
2212,12:22.7,0.1,1.00E-07,7,1,19,28,TRUE,0.021238521
2213,12:25.3,0.4,4.00E-07,5,44,3,90,FALSE,0.151776952
2214,12:27.7,0.2,2.00E-07,7,5,6,155,FALSE,0.085240485
2215,12:28.8,0.01,1.00E-07,8,27,12,60,FALSE,0.004788548
2216,12:37.4,1,2.00E-07,3,36,22,33,TRUE,0.237958048
2217,12:39.8,0.4,4.00E-07,4,13,6,55,TRUE,0.190626191
2218,12:51.2,2,4.00E-07,4,6,19,217,TRUE,0.60030612
2219,13:37.7,10,5.00E-07,1,50,15,201,FALSE,3.983528199
2220,13:46.4,1,2.00E-07,3,0,0,40,FALSE,0.278759656
2221,13:55.5,1,2.00E-07,5,49,9,207,FALSE,0.325775265
2222,14:42.3,10,5.00E-07,0,13,14,112,FALSE,4.364291218
2223,14:44.8,0.4,4.00E-07,6,51,0,149,FALSE,0.139458139
2224,14:47.3,0.4,4.00E-07,4,35,6,42,FALSE,0.14971015
2225,15:56.1,20,1.00E-06,0,16,3,148,FALSE,5.511198276
2226,16:06.8,2,4.00E-07,4,27,8,200,FALSE,0.559227712
2227,16:09.0,0.1,1.00E-07,7,8,6,53,FALSE,0.033959334
2228,16:10.2,0.01,1.00E-07,9,2,16,92,TRUE,0.004429344
2229,16:20.8,2,4.00E-07,3,12,21,124,TRUE,0.667895334
2230,16:31.6,2,4.00E-07,3,44,7,197,TRUE,0.995611399
2231,16:40.4,1,2.00E-07,2,13,3,40,TRUE,0.516937903
2232,17:49.5,20,1.00E-06,0,37,20,240,FALSE,8.460375423
2233,17:50.5,0.004,4.00E-07,8,34,0,14,FALSE,0.001843784
2234,18:05.8,4,8.00E-07,2,39,16,136,FALSE,1.295130659
2235,18:17.1,2,4.00E-07,4,38,12,200,FALSE,0.559225712
2236,18:18.3,0.01,1.00E-07,9,8,21,102,TRUE,0.004828948
2237,18:19.6,0.02,2.00E-07,9,17,10,147,FALSE,0.006547665
2238,18:21.8,0.2,2.00E-07,3,12,9,6,TRUE,0.115079115
2239,18:23.1,0.02,2.00E-07,9,7,9,152,FALSE,0.006748667
2240,18:25.6,0.4,4.00E-07,7,47,18,185,TRUE,0.101858502
2241,18:41.1,4,8.00E-07,0,41,8,38,TRUE,1.906827581
2242,18:49.8,1,2.00E-07,4,5,16,131,FALSE,0.375028875
2243,18:51.0,0.02,2.00E-07,9,20,17,170,FALSE,0.007467875
2244,18:52.2,0.01,1.00E-07,9,41,10,89,FALSE,0.004227442
2245,18:53.5,0.04,4.00E-07,8,16,17,192,FALSE,0.013236532
2246,19:02.4,1,2.00E-07,4,23,11,175,FALSE,0.487663698
2247,19:04.6,0.2,2.00E-07,4,45,-1,13,TRUE,0.078067078
2248,19:15.6,2,4.00E-07,2,8,16,89,TRUE,0.926491785
2249,20:01.3,10,5.00E-07,0,5,4,77,TRUE,3.217496161
2250,20:16.9,4,8.00E-07,2,32,14,126,FALSE,1.213214643
2251,20:27.9,2,4.00E-07,4,18,7,212,TRUE,0.590022518
2252,21:15.1,10,5.00E-07,0,7,21,51,TRUE,
2253,21:17.3,0.1,1.00E-07,6,45,20,37,TRUE,0.044779045
2254,21:28.1,2,4.00E-07,3,10,10,113,TRUE,0.606554921
2255,21:44.3,4,8.00E-07,0,4,13,34,TRUE,1.906667581
2256,22:01.4,2,4.00E-07,3,26,7,107,TRUE,0.586017717
2257,22:44.7,10,5.00E-07,2,21,13,248,FALSE,
2258,23:04.6,2,4.00E-07,3,50,20,186,FALSE,0.934191387
2259,23:06.0,0.02,2.00E-07,9,49,12,168,TRUE,0.007470275
2260,23:17.0,2,4.00E-07,4,32,20,237,FALSE,0.65142453
2261,23:25.7,1,2.00E-07,5,21,1,158,TRUE,0.254173451
2262,23:41.1,4,8.00E-07,2,19,-2,212,TRUE,1.909645182
2263,23:42.2,0.01,1.00E-07,8,13,5,25,FALSE,0.002547125
2264,23:57.6,4,8.00E-07,2,42,12,159,TRUE,1.4999275
2265,23:59.8,0.2,2.00E-07,5,39,11,38,FALSE,0.07997608
2266,24:01.0,0.04,4.00E-07,8,34,-3,188,FALSE,0.01297893
2267,24:11.9,2,4.00E-07,3,39,6,124,FALSE,0.64751573
