sample,time,window,precision,modulation,band,power,payload,crc,tx2rxdone
118,06:47.0,0.002,2.00E-07,9,27,0,2,FALSE,0.000747475
119,06:57.9,2,4.00E-07,4,18,5,192,FALSE,0.538743308
120,06:59.1,0.02,2.00E-07,9,3,15,168,TRUE,0.007469475
121,07:10.3,2,4.00E-07,3,34,0,166,TRUE,0.85227537
122,07:12.5,0.1,1.00E-07,7,49,4,38,TRUE,0.026359326
123,07:13.5,0.004,4.00E-07,9,31,12,21,FALSE,0.001508151
124,07:22.2,1,2.00E-07,4,44,9,97,FALSE,0.293026459
125,07:37.6,4,8.00E-07,2,37,16,139,TRUE,1.336089867
126,07:53.2,4,8.00E-07,2,20,5,112,TRUE,1.090450618
127,07:55.8,0.4,4.00E-07,7,28,3,218,FALSE,0.118442518
128,07:58.0,0.2,2.00E-07,6,39,22,61,FALSE,0.065180065
129,07:59.0,0.004,4.00E-07,8,23,13,4,TRUE,0.001332133
130,08:46.1,10,5.00E-07,1,46,19,106,TRUE,2.263285613
131,08:47.4,0.04,4.00E-07,8,16,10,180,FALSE,0.012468125
132,09:19.0,1,2.00E-07,5,28,10,253,TRUE,
133,09:22.4,0.4,4.00E-07,5,26,7,58,TRUE,0.110737711
134,09:24.8,0.2,2.00E-07,5,35,7,54,TRUE,0.105594106
135,09:26.0,0.01,1.00E-07,9,0,-3,87,FALSE,0.004148441
136,09:57.7,1,2.00E-07,5,1,12,249,TRUE,
137,10:07.1,1,2.00E-07,3,22,12,91,TRUE,0.504175301
138,10:22.6,4,8.00E-07,2,32,7,175,TRUE,1.622845925
139,10:24.9,0.1,1.00E-07,4,4,13,2,TRUE,0.057470957
140,10:27.3,0.1,1.00E-07,7,18,17,87,TRUE,0.051921452
141,10:29.6,0.1,1.00E-07,7,24,17,64,TRUE,0.04037894
142,10:40.6,2,4.00E-07,3,2,9,111,TRUE,0.606475721
143,10:55.9,4,8.00E-07,2,34,18,116,FALSE,1.131290626
144,11:42.4,10,5.00E-07,1,18,0,110,FALSE,2.345103617
145,11:43.6,0.04,4.00E-07,5,15,19,4,TRUE,0.028895089
146,11:54.5,2,4.00E-07,3,28,14,110,FALSE,0.586057717
147,12:03.5,1,2.00E-07,5,15,9,177,TRUE,0.284813257
148,12:12.1,1,2.00E-07,5,2,18,221,TRUE,0.346332069
149,12:14.5,0.2,2.00E-07,4,14,-3,12,TRUE,0.078027278
150,12:16.8,0.2,2.00E-07,5,49,15,54,TRUE,0.105594306
151,13:04.1,10,5.00E-07,0,34,10,81,FALSE,3.381217169
152,13:47.4,10,5.00E-07,1,42,17,245,FALSE,
153,14:11.7,4,8.00E-07,2,14,4,173,TRUE,1.622767525
154,14:27.1,4,8.00E-07,0,31,12,22,FALSE,1.415192283
155,15:02.6,4,8.00E-07,3,36,7,243,FALSE,
156,15:17.2,2,4.00E-07,0,30,10,13,FALSE,1.087557418
157,15:28.1,2,4.00E-07,2,16,7,96,TRUE,0.967532594
158,16:14.9,10,5.00E-07,1,35,6,189,FALSE,3.737828687
159,16:16.1,0.04,4.00E-07,8,14,17,181,FALSE,0.012531725
160,16:31.5,4,8.00E-07,1,15,16,52,FALSE,1.280173056
161,16:40.1,1,2.00E-07,3,42,9,68,FALSE,0.40167848
162,16:41.3,0.01,1.00E-07,9,12,9,102,FALSE,0.004748347
163,17:12.3,0.04,4.00E-07,8,46,22,245,FALSE,
164,17:13.5,0.01,1.00E-07,8,21,18,56,TRUE,0.004659247
165,17:56.9,10,5.00E-07,2,34,21,253,FALSE,
166,18:36.8,0.4,4.00E-07,7,10,7,242,TRUE,
167,18:53.0,4,8.00E-07,3,28,17,220,FALSE,1.09795062
168,18:54.1,0.02,2.00E-07,8,22,1,74,FALSE,0.005682657
169,19:41.5,10,5.00E-07,1,2,8,189,TRUE,3.819647691
170,19:50.4,1,2.00E-07,1,29,16,11,TRUE,0.542962509
171,20:36.9,10,5.00E-07,0,6,6,89,FALSE,3.545175177
172,20:38.1,0.02,2.00E-07,8,15,18,87,FALSE,0.006515665
173,20:40.5,0.2,2.00E-07,7,22,10,114,TRUE,0.065977866
174,20:49.7,1,2.00E-07,5,2,17,196,FALSE,0.310392662
175,21:05.0,4,8.00E-07,3,43,-1,236,FALSE,1.159489832
176,21:16.5,2,4.00E-07,4,17,20,193,TRUE,0.538865308
177,21:19.1,0.4,4.00E-07,6,38,4,224,FALSE,0.203458203
178,21:20.3,0.04,4.00E-07,8,48,6,237,TRUE,0.016244962
179,21:21.6,0.04,4.00E-07,8,20,5,189,FALSE,0.01304413
180,21:30.2,1,2.00E-07,5,43,19,209,TRUE,0.330912066
181,21:33.0,0.4,4.00E-07,6,38,2,200,FALSE,0.182982183
182,21:41.8,1,2.00E-07,5,43,20,206,FALSE,0.325732465
183,22:29.2,10,5.00E-07,1,10,-2,238,FALSE,4.638926232
184,22:31.5,0.2,2.00E-07,5,10,19,43,FALSE,0.085157285
185,22:32.7,0.02,2.00E-07,8,26,4,68,TRUE,0.005427454
186,22:34.9,0.1,1.00E-07,7,12,-2,39,TRUE,0.027578328
187,22:46.1,2,4.00E-07,0,38,15,11,FALSE,1.087477817
188,22:47.2,0.04,4.00E-07,5,5,1,3,TRUE,0.028856289
189,23:03.0,4,8.00E-07,3,44,15,223,TRUE,1.118449824
190,23:14.1,2,4.00E-07,2,14,22,73,TRUE,0.803572961
191,24:01.2,10,5.00E-07,0,7,12,102,TRUE,
192,24:16.8,4,8.00E-07,2,23,-3,168,FALSE,1.540965908
193,24:25.4,1,2.00E-07,3,16,16,52,TRUE,0.340219668
194,25:12.6,10,5.00E-07,1,26,13,133,FALSE,2.754718138
195,25:23.2,2,4.00E-07,3,41,11,106,FALSE,0.565596113
196,25:32.4,1,2.00E-07,4,27,13,106,FALSE,0.313547663
197,25:33.3,0.004,4.00E-07,8,9,20,10,TRUE,0.001716172
198,25:35.8,0.2,2.00E-07,6,25,18,87,TRUE,0.088261288
199,25:51.0,4,8.00E-07,2,9,15,113,TRUE,1.131253826
200,25:53.2,0.1,1.00E-07,6,2,4,40,FALSE,0.047259847
201,27:02.8,20,1.00E-06,0,43,14,194,TRUE,7.149504357
202,27:14.1,2,4.00E-07,3,31,-1,180,TRUE,0.913732183
203,27:24.7,2,4.00E-07,1,1,20,43,TRUE,1.116414623
204,27:33.2,1,2.00E-07,4,45,16,132,TRUE,0.385224077
205,27:35.7,0.4,4.00E-07,4,26,16,46,FALSE,0.15994616
206,27:46.7,2,4.00E-07,2,25,18,53,FALSE,0.59889452
207,28:02.6,4,8.00E-07,1,9,19,77,FALSE,1.771609154
208,29:12.8,20,1.00E-06,0,50,3,216,FALSE,7.80485739
209,29:24.2,2,4.00E-07,3,7,13,143,TRUE,0.74985415
210,29:32.7,1,2.00E-07,3,36,20,74,TRUE,0.442595289
211,29:33.7,0.004,4.00E-07,9,23,-1,23,TRUE,0.001668167
212,29:35.0,0.02,2.00E-07,8,48,20,130,TRUE,0.009394694
213,30:05.9,0.04,4.00E-07,9,14,0,253,TRUE,
214,30:08.2,0.2,2.00E-07,7,34,20,88,TRUE,0.051961252
215,30:56.1,10,5.00E-07,2,45,6,233,TRUE,2.114284106
216,31:04.8,1,2.00E-07,3,34,-3,43,TRUE,0.29925926
217,31:15.9,2,4.00E-07,3,47,2,191,TRUE,0.975070595
218,31:18.5,0.4,4.00E-07,5,10,-2,110,TRUE,0.187514188
219,31:21.0,0.4,4.00E-07,3,8,13,22,FALSE,0.196842997
220,31:51.9,0.04,4.00E-07,9,24,14,253,FALSE,
221,32:03.2,2,4.00E-07,3,17,17,169,FALSE,0.85231577
222,32:12.2,1,2.00E-07,5,20,15,162,FALSE,0.259234452
223,32:27.8,4,8.00E-07,2,28,0,131,TRUE,1.254252251
224,32:30.2,0.2,2.00E-07,4,24,8,26,FALSE,0.108750909
225,33:17.5,10,5.00E-07,0,0,7,132,TRUE,5.019725751
226,33:32.6,4,8.00E-07,2,50,19,189,TRUE,1.745686749
