sample,time,window,precision,modulation,band,power,payload,tx2rf
71,2018-05-31 09:10:04.110566,0.0004,4.0000400004000045e-09,7,0,4,27,0.00012632526325263255
72,2018-05-31 09:10:05.110468,0.0004,4.0000400004000045e-09,5,10,11,10,0.00012576925769257693
73,2018-05-31 09:10:06.003025,0.0004,4.0000400004000045e-09,8,51,9,30,0.00012616126161261613
74,2018-05-31 09:10:06.939388,0.0004,4.0000400004000045e-09,0,1,0,31,0.00012576525765257653
75,2018-05-31 09:10:07.871155,0.0004,4.0000400004000045e-09,0,0,20,14,0.00012580925809258095
76,2018-05-31 09:10:08.752349,0.0004,4.0000400004000045e-09,7,16,12,10,0.00012638926389263894
77,2018-05-31 09:10:09.726303,0.0004,4.0000400004000045e-09,3,2,22,30,0.00012670526705267055
78,2018-05-31 09:10:10.709038,0.0004,4.0000400004000045e-09,6,42,3,34,0.00012579725797257974
79,2018-05-31 09:10:11.639405,0.0004,4.0000400004000045e-09,1,45,11,37,0.00012613326133261335
80,2018-05-31 09:10:12.536221,0.0004,4.0000400004000045e-09,1,2,11,36,0.00012572525725257255
81,2018-05-31 09:10:13.415572,0.0004,4.0000400004000045e-09,2,1,2,12,0.00012640126401264014
82,2018-05-31 09:10:14.310418,0.0004,4.0000400004000045e-09,1,26,-1,20,0.00012577325773257734
83,2018-05-31 09:10:15.254048,0.0004,4.0000400004000045e-09,2,46,18,21,0.00012621726217262175
84,2018-05-31 09:10:16.210133,0.0004,4.0000400004000045e-09,8,16,6,47,0.00012710127101271015
85,2018-05-31 09:10:17.130674,0.0004,4.0000400004000045e-09,0,34,11,16,0.00012586525865258653
86,2018-05-31 09:10:18.044094,0.0004,4.0000400004000045e-09,7,3,12,45,0.00012570125701257014
87,2018-05-31 09:10:18.950006,0.0004,4.0000400004000045e-09,5,48,10,35,0.00012751727517275175
88,2018-05-31 09:10:19.875835,0.0004,4.0000400004000045e-09,2,22,-1,28,0.00012622926229262295
89,2018-05-31 09:10:20.781284,0.0004,4.0000400004000045e-09,8,11,11,55,0.00012588925889258894
90,2018-05-31 09:10:21.777938,0.0004,4.0000400004000045e-09,5,45,9,15,0.00012681326813268135
91,2018-05-31 09:10:22.701323,0.0004,4.0000400004000045e-09,8,15,12,24,0.00012592525925259255
92,2018-05-31 09:10:23.658286,0.0004,4.0000400004000045e-09,0,8,1,8,0.00012660926609266095
93,2018-05-31 09:10:24.553129,0.0004,4.0000400004000045e-09,8,29,-1,46,0.00012711327113271135
94,2018-05-31 09:10:25.427880,0.0004,4.0000400004000045e-09,0,45,18,10,0.00012685726857268573
95,2018-05-31 09:10:26.315264,0.0004,4.0000400004000045e-09,5,36,-1,26,0.00012574125741257413
96,2018-05-31 09:10:27.257607,0.0004,4.0000400004000045e-09,0,30,2,52,0.00012786527865278654
97,2018-05-31 09:10:28.203434,0.0004,4.0000400004000045e-09,3,35,21,57,0.00012627326273262734
98,2018-05-31 09:10:29.090589,0.0004,4.0000400004000045e-09,9,26,8,13,0.00012593325933259335
99,2018-05-31 09:10:29.991325,0.0004,4.0000400004000045e-09,1,12,8,51,0.00012577725777257774
100,2018-05-31 09:10:30.977136,0.0004,4.0000400004000045e-09,7,40,-1,53,0.00012614926149261493
101,2018-05-31 09:10:31.925860,0.0004,4.0000400004000045e-09,1,26,-2,47,0.00012682526825268255
102,2018-05-31 09:10:32.854607,0.0004,4.0000400004000045e-09,5,14,14,25,0.00012580125801258014
103,2018-05-31 09:10:33.728618,0.0004,4.0000400004000045e-09,8,28,19,2,0.00012692526925269255
104,2018-05-31 09:10:34.659020,0.0004,4.0000400004000045e-09,7,25,12,44,0.00012581325813258135
105,2018-05-31 09:10:35.539707,0.0004,4.0000400004000045e-09,9,15,2,2,0.00012654526545265453
106,2018-05-31 09:10:36.448124,0.0004,4.0000400004000045e-09,3,51,19,48,0.00012575325753257533
107,2018-05-31 09:10:37.403528,0.0004,4.0000400004000045e-09,4,33,7,60,0.00012584525845258453
108,2018-05-31 09:10:38.371426,0.0004,4.0000400004000045e-09,9,23,13,50,0.00012593725937259375
109,2018-05-31 09:10:39.243022,0.0004,4.0000400004000045e-09,6,8,0,1,0.00012643726437264375
