sample,time,window,precision,modulation,band,power,payload,tx2rxdone
98,2018-06-01 19:00:25.483488,0.4,4.000040000400005e-06,5,11,5,64,0.12103721037210374
99,2018-06-01 19:00:46.029392,10.0,2.00000040000008e-06,1,45,14,97,2.1812864362572872
100,2018-06-01 19:00:47.291026,0.4,4.000040000400005e-06,4,23,21,23,0.11888518885188853
101,2018-06-01 19:00:48.374469,0.2,2.0000200002000023e-06,5,22,2,20,0.059518595185951866
102,2018-06-01 19:00:49.293515,0.01,1.0001000100010001e-06,8,10,4,30,0.0030603060306030605
103,2018-06-01 19:01:09.759047,10.0,2.00000040000008e-06,0,43,11,117,4.691948938389788
104,2018-06-01 19:01:11.094257,0.4,4.000040000400005e-06,6,7,3,114,0.11384113841138413
105,2018-06-01 19:01:12.228708,0.4,4.000040000400005e-06,3,42,22,10,0.15594155941559418
106,2018-06-01 19:01:13.281773,0.1,1.0000100001000012e-06,7,20,21,73,0.04556045560455605
107,2018-06-01 19:01:14.187073,0.004,4.004004004004004e-06,8,46,22,5,0.0014614614614614613
108,2018-06-01 19:01:17.138013,1.0,1.000001000001e-06,4,24,9,64,0.2213292213292213
109,2018-06-01 19:01:20.007450,1.0,1.000001000001e-06,5,1,-3,115,0.19777419777419775
110,2018-06-01 19:01:27.151247,4.0,4.000004000004e-06,0,36,20,34,1.9067699067699067
111,2018-06-01 19:01:31.486275,2.0,2.000002000002e-06,0,38,11,4,0.9237369237369236
112,2018-06-01 19:01:32.447810,0.02,2.0002000200020003e-06,8,27,15,109,0.008114811481148116
113,2018-06-01 19:01:36.784316,2.0,2.000002000002e-06,3,40,11,90,0.5245405245405245
114,2018-06-01 19:01:37.737246,0.01,1.0001000100010001e-06,9,40,5,90,0.00438943894389439
115,2018-06-01 19:01:38.634362,0.01,1.0001000100010001e-06,9,20,9,88,0.00430943094309431
116,2018-06-01 19:01:58.998472,10.0,2.00000040000008e-06,0,6,-1,69,3.0536406107281224
117,2018-06-01 19:02:00.374715,0.4,4.000040000400005e-06,6,39,0,120,0.11895718957189574
118,2018-06-01 19:02:04.571559,2.0,2.000002000002e-06,2,47,-1,58,0.6807946807946808
119,2018-06-01 19:02:05.787068,0.2,2.0000200002000023e-06,4,2,20,17,0.09848898488984892
120,2018-06-01 19:02:06.913856,0.4,4.000040000400005e-06,4,21,0,25,0.11897318973189734
121,2018-06-01 19:02:08.132695,0.4,4.000040000400005e-06,4,3,3,33,0.13944539445394455
122,2018-06-01 19:02:09.443148,0.4,4.000040000400005e-06,5,24,10,64,0.12103721037210374
123,2018-06-01 19:02:10.392730,0.01,1.0001000100010001e-06,9,20,20,89,0.004348434843484348
124,2018-06-01 19:02:11.403712,0.1,1.0000100001000012e-06,7,22,10,43,0.030199301993019935
125,2018-06-01 19:02:14.222796,1.0,1.000001000001e-06,1,21,17,4,0.461041461041461
