sample,time,window,precision,modulation,band,tx,measured
123,2018-06-07 10:28:18.948433,0.001,1.000010000100001e-08,2,22,False,0.0002752027520275203
124,2018-06-07 10:28:19.930967,0.001,1.000010000100001e-08,9,51,False,0.00047505475054750553
125,2018-06-07 10:28:20.920182,0.001,1.000010000100001e-08,5,5,True,0.00034016340163401634
126,2018-06-07 10:28:21.871099,0.001,1.000010000100001e-08,0,49,True,0.0003409034090340904
127,2018-06-07 10:28:22.786538,0.001,1.000010000100001e-08,8,43,False,0.0004772847728477285
128,2018-06-07 10:28:23.707477,0.001,1.000010000100001e-08,0,20,True,0.0003176431764317643
129,2018-06-07 10:28:24.653330,0.001,1.000010000100001e-08,9,34,True,0.0004683446834468345
130,2018-06-07 10:28:25.668951,0.001,1.000010000100001e-08,9,10,False,0.0004534745347453475
131,2018-06-07 10:28:26.619900,0.001,1.000010000100001e-08,8,45,False,0.0004522845228452285
132,2018-06-07 10:28:27.573060,0.001,1.000010000100001e-08,1,14,True,0.00031728317283172833
133,2018-06-07 10:28:28.499618,0.001,1.000010000100001e-08,4,16,True,0.0003401134011340114
134,2018-06-07 10:28:29.448410,0.001,1.000010000100001e-08,2,25,True,0.00034434344343443435
135,2018-06-07 10:28:30.358127,0.001,1.000010000100001e-08,9,3,False,0.0004975349753497535
136,2018-06-07 10:28:31.359937,0.001,1.000010000100001e-08,9,31,True,0.0005197051970519705
137,2018-06-07 10:28:32.287669,0.001,1.000010000100001e-08,2,31,False,0.0002516025160251603
138,2018-06-07 10:28:33.280599,0.001,1.000010000100001e-08,2,12,False,0.0002727127271272713
139,2018-06-07 10:28:34.189660,0.001,1.000010000100001e-08,3,18,False,0.0002740627406274063
140,2018-06-07 10:28:35.104737,0.001,1.000010000100001e-08,4,46,False,0.0002727527275272753
141,2018-06-07 10:28:36.027043,0.001,1.000010000100001e-08,0,32,True,0.00034096340963409635
142,2018-06-07 10:28:36.994778,0.001,1.000010000100001e-08,6,2,True,0.0003719837198371984
143,2018-06-07 10:28:37.959748,0.001,1.000010000100001e-08,9,5,False,0.0004974549745497455
144,2018-06-07 10:28:38.921725,0.001,1.000010000100001e-08,1,33,True,0.00032014320143201435
145,2018-06-07 10:28:39.886667,0.001,1.000010000100001e-08,2,19,True,0.00034043340433404336
146,2018-06-07 10:28:40.842863,0.001,1.000010000100001e-08,0,35,False,0.0002755027550275503
147,2018-06-07 10:28:41.761843,0.001,1.000010000100001e-08,2,3,True,0.0003640336403364034
148,2018-06-07 10:28:42.730027,0.001,1.000010000100001e-08,3,43,True,0.00034916349163491636
149,2018-06-07 10:28:43.654393,0.001,1.000010000100001e-08,3,34,True,0.0003428734287342874
