sample,time,window,precision,modulation,band,measured
82,2018-06-14 08:57:06.904618,0.0002,2.0000200002000022e-09,0,38,6.721067210672107e-05
83,2018-06-14 08:57:07.789873,0.0002,2.0000200002000022e-09,6,1,6.721067210672107e-05
84,2018-06-14 08:57:08.665605,0.0002,2.0000200002000022e-09,4,22,6.733467334673348e-05
85,2018-06-14 08:57:09.507718,0.0002,2.0000200002000022e-09,8,30,6.727267272672727e-05
86,2018-06-14 08:57:10.384615,0.0002,2.0000200002000022e-09,1,18,6.733467334673348e-05
87,2018-06-14 08:57:11.306337,0.0002,2.0000200002000022e-09,2,34,6.725267252672528e-05
88,2018-06-14 08:57:12.255647,0.0002,2.0000200002000022e-09,0,14,6.756467564675647e-05
89,2018-06-14 08:57:13.097727,0.0002,2.0000200002000022e-09,2,27,6.731467314673147e-05
90,2018-06-14 08:57:13.930473,0.0002,2.0000200002000022e-09,0,34,6.720867208672087e-05
91,2018-06-14 08:57:14.783148,0.0002,2.0000200002000022e-09,8,32,6.721067210672107e-05
92,2018-06-14 08:57:15.669974,0.0002,2.0000200002000022e-09,8,26,6.727267272672727e-05
93,2018-06-14 08:57:16.539784,0.0002,2.0000200002000022e-09,7,20,6.733667336673368e-05
94,2018-06-14 08:57:17.499370,0.0002,2.0000200002000022e-09,5,4,6.791867918679187e-05
95,2018-06-14 08:57:18.336049,0.0002,2.0000200002000022e-09,5,19,6.731467314673147e-05
96,2018-06-14 08:57:19.172141,0.0002,2.0000200002000022e-09,3,36,6.993869938699388e-05
97,2018-06-14 08:57:20.011572,0.0002,2.0000200002000022e-09,8,20,7.812678126781268e-05
98,2018-06-14 08:57:20.883999,0.0002,2.0000200002000022e-09,2,41,7.81687816878169e-05
99,2018-06-14 08:57:21.725252,0.0002,2.0000200002000022e-09,3,36,6.721067210672107e-05
100,2018-06-14 08:57:22.605077,0.0002,2.0000200002000022e-09,8,44,6.721067210672107e-05
101,2018-06-14 08:57:23.485245,0.0002,2.0000200002000022e-09,5,12,6.725267252672528e-05
102,2018-06-14 08:57:24.322162,0.0002,2.0000200002000022e-09,9,39,6.987669876698768e-05
103,2018-06-14 08:57:25.162929,0.0002,2.0000200002000022e-09,8,50,6.727467274672747e-05
104,2018-06-14 08:57:26.012287,0.0002,2.0000200002000022e-09,4,14,6.721067210672107e-05
105,2018-06-14 08:57:26.859319,0.0002,2.0000200002000022e-09,1,9,6.731467314673147e-05
106,2018-06-14 08:57:27.775054,0.0002,2.0000200002000022e-09,0,35,6.733467334673348e-05
107,2018-06-14 08:57:28.613021,0.0002,2.0000200002000022e-09,1,3,6.758467584675848e-05
108,2018-06-14 08:57:29.464893,0.0002,2.0000200002000022e-09,5,16,6.760667606676067e-05
109,2018-06-14 08:57:30.299114,0.0002,2.0000200002000022e-09,0,13,6.731467314673147e-05
110,2018-06-14 08:57:31.213263,0.0002,2.0000200002000022e-09,3,23,6.731467314673147e-05
111,2018-06-14 08:57:32.096391,0.0002,2.0000200002000022e-09,0,28,6.756267562675627e-05
112,2018-06-14 08:57:32.942726,0.0002,2.0000200002000022e-09,1,9,6.758667586675868e-05
113,2018-06-14 08:57:33.858046,0.0002,2.0000200002000022e-09,0,13,6.733467334673348e-05
114,2018-06-14 08:57:34.742912,0.0002,2.0000200002000022e-09,1,8,6.987669876698768e-05
115,2018-06-14 08:57:35.623860,0.0002,2.0000200002000022e-09,8,11,6.721067210672107e-05
116,2018-06-14 08:57:36.461587,0.0002,2.0000200002000022e-09,3,16,6.994069940699408e-05
117,2018-06-14 08:57:37.305176,0.0002,2.0000200002000022e-09,5,47,6.731267312673127e-05
118,2018-06-14 08:57:38.181527,0.0002,2.0000200002000022e-09,4,21,6.720867208672087e-05
119,2018-06-14 08:57:39.058561,0.0002,2.0000200002000022e-09,3,20,6.733467334673348e-05
120,2018-06-14 08:57:39.948691,0.0002,2.0000200002000022e-09,0,22,6.720867208672087e-05
121,2018-06-14 08:57:40.791193,0.0002,2.0000200002000022e-09,0,49,6.721067210672107e-05
122,2018-06-14 08:57:41.634593,0.0002,2.0000200002000022e-09,1,11,6.721067210672107e-05
123,2018-06-14 08:57:42.473569,0.0002,2.0000200002000022e-09,8,29,6.756467564675647e-05
124,2018-06-14 08:57:43.321712,0.0002,2.0000200002000022e-09,6,6,6.733667336673368e-05
125,2018-06-14 08:57:44.204775,0.0002,2.0000200002000022e-09,1,38,6.727467274672747e-05
