sample,time,window,precision,offset,measured
212,2018-06-07 15:28:14.603284,0.001,1.000001000001e-09,3153,0.0003960763960763961
213,2018-06-07 15:28:15.571011,0.0004,4.0000400004000045e-09,1501,0.00018950989509895102
214,2018-06-07 15:28:18.267128,0.001,1.000001000001e-09,1730,0.00021828021828021829
215,2018-06-07 15:28:20.730926,0.002,2.000002000002e-09,4290,0.0005382325382325382
216,2018-06-07 15:28:22.846988,0.002,2.000002000002e-09,5217,0.0006540566540566541
217,2018-06-07 15:28:25.162866,0.002,2.000002000002e-09,5354,0.0006712186712186713
218,2018-06-07 15:28:27.348383,0.002,2.000002000002e-09,4961,0.0006221586221586222
219,2018-06-07 15:28:29.615514,0.002,2.000002000002e-09,7767,0.0009728669728669729
220,2018-06-07 15:28:31.938603,0.001,1.000001000001e-09,2845,0.00035763535763535766
221,2018-06-07 15:28:34.175678,0.002,2.000002000002e-09,4848,0.000607944607944608
222,2018-06-07 15:28:35.111825,0.0004,4.0000400004000045e-09,1540,0.0001944379443794438
223,2018-06-07 15:28:37.269917,0.001,1.000001000001e-09,1940,0.0002444642444642445
224,2018-06-07 15:28:39.423320,0.001,1.000001000001e-09,3003,0.0003773673773673774
225,2018-06-07 15:28:41.880695,0.002,2.000002000002e-09,7239,0.0009068769068769069
226,2018-06-07 15:28:44.026726,0.001,1.000001000001e-09,2643,0.0003324003324003324
227,2018-06-07 15:28:46.277530,0.002,2.000002000002e-09,6862,0.0008597348597348597
228,2018-06-07 15:28:48.372118,0.002,2.000002000002e-09,6376,0.000798962798962799
229,2018-06-07 15:28:50.671378,0.001,1.000001000001e-09,3461,0.0004345714345714346
230,2018-06-07 15:28:52.964213,0.001,1.000001000001e-09,2902,0.0003647763647763648
231,2018-06-07 15:28:55.239889,0.002,2.000002000002e-09,6322,0.0007922487922487922
232,2018-06-07 15:28:57.661799,0.001,1.000001000001e-09,3294,0.0004137084137084137
233,2018-06-07 15:28:59.974474,0.002,2.000002000002e-09,5102,0.0006397606397606398
234,2018-06-07 15:29:02.124990,0.002,2.000002000002e-09,7689,0.0009631289631289631
235,2018-06-07 15:29:04.447261,0.001,1.000001000001e-09,2087,0.0002627962627962628
236,2018-06-07 15:29:06.622386,0.002,2.000002000002e-09,7747,0.0009702809702809703
237,2018-06-07 15:29:08.804332,0.002,2.000002000002e-09,4242,0.0005322305322305323
238,2018-06-07 15:29:09.799037,0.0004,4.0000400004000045e-09,908,0.00011541715417154173
239,2018-06-07 15:29:11.969994,0.002,2.000002000002e-09,6436,0.0008065008065008065
240,2018-06-07 15:29:14.297453,0.001,1.000001000001e-09,3253,0.00040865140865140867
241,2018-06-07 15:29:16.524597,0.002,2.000002000002e-09,4394,0.0005512145512145513
242,2018-06-07 15:29:18.638336,0.001,1.000001000001e-09,2791,0.0003508953508953509
243,2018-06-07 15:29:20.967013,0.002,2.000002000002e-09,7433,0.0009311069311069312
244,2018-06-07 15:29:23.096098,0.001,1.000001000001e-09,2467,0.00031032331032331033
245,2018-06-07 15:29:24.077088,0.0004,4.0000400004000045e-09,1530,0.00019326993269932702
246,2018-06-07 15:29:26.384439,0.002,2.000002000002e-09,4532,0.0005685105685105685
247,2018-06-07 15:29:28.567195,0.002,2.000002000002e-09,6781,0.0008495328495328495
248,2018-06-07 15:29:30.820478,0.001,1.000001000001e-09,3020,0.00037951537951537955
249,2018-06-07 15:29:33.150579,0.002,2.000002000002e-09,5621,0.0007046727046727047
250,2018-06-07 15:29:35.352564,0.002,2.000002000002e-09,4371,0.0005483605483605484
251,2018-06-07 15:29:36.275041,0.0004,4.0000400004000045e-09,1402,0.000177169771697717
252,2018-06-07 15:29:38.470085,0.001,1.000001000001e-09,3312,0.000416004416004416
253,2018-06-07 15:29:40.761935,0.002,2.000002000002e-09,6498,0.0008142108142108142
254,2018-06-07 15:29:43.062548,0.001,1.000001000001e-09,2842,0.00035721135721135725
255,2018-06-07 15:29:45.278625,0.001,1.000001000001e-09,2711,0.0003409033409033409
256,2018-06-07 15:29:47.514966,0.002,2.000002000002e-09,6117,0.0007665707665707666
257,2018-06-07 15:29:49.697411,0.001,1.000001000001e-09,3361,0.0004220994220994221
258,2018-06-07 15:29:52.106446,0.002,2.000002000002e-09,4574,0.0005737825737825738
259,2018-06-07 15:29:54.383228,0.001,1.000001000001e-09,1747,0.00022033022033022035
260,2018-06-07 15:29:56.631478,0.001,1.000001000001e-09,2270,0.00028575728575728576
261,2018-06-07 15:29:58.947320,0.002,2.000002000002e-09,7896,0.000988946988946989
262,2018-06-07 15:30:01.249036,0.002,2.000002000002e-09,6035,0.0007563487563487564
263,2018-06-07 15:30:03.769005,0.002,2.000002000002e-09,5300,0.0006644546644546644
264,2018-06-07 15:30:06.079497,0.001,1.000001000001e-09,1838,0.00023167323167323168
265,2018-06-07 15:30:08.609171,0.002,2.000002000002e-09,7862,0.0009847649847649848
266,2018-06-07 15:30:10.896134,0.002,2.000002000002e-09,4038,0.0005067225067225068
267,2018-06-07 15:30:13.040494,0.002,2.000002000002e-09,4840,0.000606970606970607
268,2018-06-07 15:30:15.378331,0.002,2.000002000002e-09,6461,0.0008095928095928096
269,2018-06-07 15:30:16.513902,0.0004,4.0000400004000045e-09,1069,0.00013564135641356415
270,2018-06-07 15:30:19.252198,0.002,2.000002000002e-09,6324,0.0007925087925087926
271,2018-06-07 15:30:21.528478,0.001,1.000001000001e-09,1774,0.00022372322372322373
272,2018-06-07 15:30:23.823198,0.002,2.000002000002e-09,7422,0.0009297429297429298
273,2018-06-07 15:30:26.250768,0.002,2.000002000002e-09,5141,0.0006446046446046446
274,2018-06-07 15:30:28.667050,0.001,1.000001000001e-09,3242,0.0004072724072724073
275,2018-06-07 15:30:31.058587,0.001,1.000001000001e-09,1865,0.0002351032351032351
276,2018-06-07 15:30:33.477190,0.002,2.000002000002e-09,7302,0.0009147009147009147
277,2018-06-07 15:30:35.876212,0.002,2.000002000002e-09,6425,0.000805064805064805
278,2018-06-07 15:30:38.157587,0.002,2.000002000002e-09,4456,0.0005589405589405589
279,2018-06-07 15:30:39.098825,0.0004,4.0000400004000045e-09,1231,0.00015585355853558536
280,2018-06-07 15:30:41.407455,0.002,2.000002000002e-09,4940,0.0006194346194346195
281,2018-06-07 15:30:43.716869,0.002,2.000002000002e-09,5981,0.0007495367495367496
282,2018-06-07 15:30:46.112965,0.002,2.000002000002e-09,7020,0.0008795088795088796
283,2018-06-07 15:30:47.034644,0.0004,4.0000400004000045e-09,1199,0.00015191751917519177
284,2018-06-07 15:30:49.387581,0.001,1.000001000001e-09,3258,0.00040923840923840925
285,2018-06-07 15:30:51.841818,0.002,2.000002000002e-09,6320,0.0007919047919047919
