sample,time,window,precision,modulation,band,react,finish
57,2018-06-07 13:13:23.921138,0.0001,1.001001001001001e-07,8,6,6.806806806806807e-06,5.915915915915916e-05
58,2018-06-07 13:13:25.498073,0.0001,1.001001001001001e-07,0,21,6.9069069069069065e-06,5.915915915915916e-05
59,2018-06-07 13:13:26.456446,0.0001,1.001001001001001e-07,3,47,6.9069069069069065e-06,5.915915915915916e-05
60,2018-06-07 13:13:27.416652,0.0001,1.001001001001001e-07,3,45,6.806806806806807e-06,5.915915915915916e-05
61,2018-06-07 13:13:28.284859,0.0001,1.001001001001001e-07,4,43,6.806806806806807e-06,5.915915915915916e-05
62,2018-06-07 13:13:29.244952,0.0001,1.001001001001001e-07,3,45,6.806806806806807e-06,5.915915915915916e-05
63,2018-06-07 13:13:30.105034,0.0001,1.001001001001001e-07,4,31,6.9069069069069065e-06,5.915915915915916e-05
64,2018-06-07 13:13:30.943432,0.0001,1.001001001001001e-07,7,14,6.9069069069069065e-06,5.915915915915916e-05
65,2018-06-07 13:13:31.784227,0.0001,1.001001001001001e-07,9,30,6.9069069069069065e-06,6.166166166166166e-05
66,2018-06-07 13:13:33.345444,0.0001,1.001001001001001e-07,0,41,6.9069069069069065e-06,5.915915915915916e-05
67,2018-06-07 13:13:34.504738,0.0001,1.001001001001001e-07,1,3,6.806806806806807e-06,5.915915915915916e-05
68,2018-06-07 13:13:35.676666,0.0001,1.001001001001001e-07,1,35,6.806806806806807e-06,5.905905905905906e-05
69,2018-06-07 13:13:36.952657,0.0001,1.001001001001001e-07,1,26,6.806806806806807e-06,5.905905905905906e-05
70,2018-06-07 13:13:37.793485,0.0001,1.001001001001001e-07,8,42,6.9069069069069065e-06,5.915915915915916e-05
71,2018-06-07 13:13:38.636572,0.0001,1.001001001001001e-07,8,42,6.806806806806807e-06,5.915915915915916e-05
72,2018-06-07 13:13:39.479323,0.0001,1.001001001001001e-07,9,13,6.9069069069069065e-06,5.915915915915916e-05
73,2018-06-07 13:13:40.544526,0.0001,1.001001001001001e-07,2,19,6.9069069069069065e-06,5.915915915915916e-05
74,2018-06-07 13:13:41.495842,0.0001,1.001001001001001e-07,3,44,6.9069069069069065e-06,5.915915915915916e-05
75,2018-06-07 13:13:42.344569,0.0001,1.001001001001001e-07,5,16,6.806806806806807e-06,5.915915915915916e-05
76,2018-06-07 13:13:43.181162,0.0001,1.001001001001001e-07,8,32,6.806806806806807e-06,5.905905905905906e-05
77,2018-06-07 13:13:44.034129,0.0001,1.001001001001001e-07,4,13,6.9069069069069065e-06,5.915915915915916e-05
78,2018-06-07 13:13:44.871835,0.0001,1.001001001001001e-07,8,5,6.806806806806807e-06,5.915915915915916e-05
79,2018-06-07 13:13:45.720705,0.0001,1.001001001001001e-07,5,44,6.9069069069069065e-06,5.915915915915916e-05
80,2018-06-07 13:13:47.283946,0.0001,1.001001001001001e-07,0,16,6.806806806806807e-06,5.915915915915916e-05
81,2018-06-07 13:13:48.346353,0.0001,1.001001001001001e-07,2,18,6.9069069069069065e-06,5.915915915915916e-05
82,2018-06-07 13:13:49.196986,0.0001,1.001001001001001e-07,8,12,6.9069069069069065e-06,5.915915915915916e-05
83,2018-06-07 13:13:50.147210,0.0001,1.001001001001001e-07,3,8,6.9069069069069065e-06,5.915915915915916e-05
84,2018-06-07 13:13:51.195586,0.0001,1.001001001001001e-07,2,1,6.9069069069069065e-06,5.915915915915916e-05
85,2018-06-07 13:13:52.350182,0.0001,1.001001001001001e-07,1,16,6.9069069069069065e-06,5.915915915915916e-05
86,2018-06-07 13:13:53.404395,0.0001,1.001001001001001e-07,2,17,6.806806806806807e-06,5.915915915915916e-05
87,2018-06-07 13:13:54.258005,0.0001,1.001001001001001e-07,4,48,6.806806806806807e-06,5.915915915915916e-05
88,2018-06-07 13:13:55.207001,0.0001,1.001001001001001e-07,3,15,6.806806806806807e-06,5.915915915915916e-05
89,2018-06-07 13:13:56.055790,0.0001,1.001001001001001e-07,7,49,6.9069069069069065e-06,5.915915915915916e-05
90,2018-06-07 13:13:56.912786,0.0001,1.001001001001001e-07,4,37,6.9069069069069065e-06,5.915915915915916e-05
91,2018-06-07 13:13:57.778803,0.0001,1.001001001001001e-07,9,0,6.806806806806807e-06,6.166166166166166e-05
92,2018-06-07 13:13:59.344579,0.0001,1.001001001001001e-07,0,48,6.806806806806807e-06,5.915915915915916e-05
93,2018-06-07 13:14:00.191842,0.0001,1.001001001001001e-07,9,24,6.806806806806807e-06,5.915915915915916e-05
