sample,time,window,precision,modulation,band,power,payload,measured
4186,07:23.6,0.04,4.00E-08,5,41,-15,167,0.023735664
317,05:46.7,0.002,2.00E-08,9,9,-3,245,0.000625006
318,06:28.4,1,5.00E-08,1,39,1,118,0.379069369
319,07:12.9,1,5.00E-08,0,22,-11,120,0.759871738
320,07:14.6,0.002,2.00E-08,9,43,-16,3,0.000623786
4391,35:33.0,0.4,8.00E-08,2,19,-1,54,0.189182678
322,08:12.1,1,5.00E-08,1,42,-17,83,0.379071769
7205,53:35.8,0.04,4.00E-08,6,51,3,111,0.014048374
324,08:19.3,0.02,2.00E-08,7,9,15,192,0.007173287
3059,14:18.8,0.04,4.00E-08,6,3,-9,13,0.014048414
326,08:24.3,0.002,2.00E-08,8,37,21,247,0.000905809
3383,01:27.9,0.4,8.00E-08,2,28,-4,198,0.189182758
328,09:16.7,1,5.00E-08,1,1,19,217,0.379070719
329,09:20.3,0.02,2.00E-08,7,51,-13,250,0.007173247
330,10:01.4,1,5.00E-08,1,2,21,118,0.379074769
331,10:03.0,0.002,2.00E-08,8,25,-17,171,0.000905549
332,10:45.7,1,5.00E-08,0,16,-17,210,0.759868488
333,10:58.4,0.1,2.00E-08,4,32,-11,123,0.047280909
4275,19:58.5,0.04,4.00E-08,5,45,14,65,0.023735664
7657,03:10.5,0.4,8.00E-08,2,2,7,235,0.189182758
336,11:16.9,0.002,2.00E-08,8,29,16,104,0.000906029
337,11:29.8,0.1,2.00E-08,4,44,15,109,0.047281769
314,05:40.3,0.4,8.00E-08,2,29,-4,178,0.189182838
339,11:43.5,0.002,2.00E-08,8,19,14,25,0.000906169
4318,26:00.0,0.04,4.00E-08,5,5,6,183,0.023735664
341,11:48.3,0.002,2.00E-08,9,18,17,21,0.000624386
3151,28:19.1,0.04,4.00E-08,6,28,12,51,0.014048414
343,12:03.4,0.1,2.00E-08,4,42,-2,115,0.047283449
7683,07:09.1,0.04,4.00E-08,6,47,-1,101,0.014048414
9018,36:30.4,0.04,4.00E-08,6,32,-17,249,0.014048414
346,12:13.1,0.02,2.00E-08,7,36,8,100,0.007168387
347,12:14.6,0.002,2.00E-08,8,33,11,2,0.000907029
7945,54:20.8,0.04,4.00E-08,5,16,-16,115,0.023735664
349,12:20.0,0.002,2.00E-08,9,22,-4,167,0.000625126
350,12:21.5,0.002,2.00E-08,8,35,8,94,0.000905249
351,13:01.2,1,5.00E-08,1,22,-16,116,0.379070419
352,13:02.7,0.002,2.00E-08,9,45,-9,71,0.000625246
353,13:04.0,0.002,2.00E-08,8,27,-3,26,0.000905429
8312,46:18.1,0.04,4.00E-08,5,22,-1,187,0.023735664
507,42:53.1,0.4,8.00E-08,2,37,20,127,0.189182838
964,52:48.8,0.4,8.00E-08,2,38,9,163,0.189182838
357,13:32.4,0.002,2.00E-08,8,0,-3,229,0.000906889
358,13:35.6,0.02,2.00E-08,7,38,10,200,0.007168707
9061,44:34.6,0.04,4.00E-08,6,21,14,105,0.014048414
7914,48:56.2,0.2,4.00E-08,3,43,20,250,0.094495499
9160,00:25.3,0.04,4.00E-08,5,10,12,121,0.023735664
9318,23:18.4,0.2,4.00E-08,3,30,7,195,0.094495499
363,14:49.7,1,5.00E-08,0,14,-14,18,0.759866988
364,15:01.0,0.1,2.00E-08,4,28,20,7,0.047284049
365,15:39.8,1,5.00E-08,0,5,7,68,0.759868388
366,15:52.0,0.1,2.00E-08,4,4,-5,44,0.047283769
3212,38:36.5,0.4,8.00E-08,2,48,-8,59,0.189182838
368,16:16.1,0.1,2.00E-08,4,40,-11,25,0.047280389
369,16:17.7,0.002,2.00E-08,8,1,6,177,0.000905529
1650,36:14.7,0.2,4.00E-08,3,33,-4,20,0.094495539
371,16:30.5,0.002,2.00E-08,9,10,-16,230,0.000626006
372,17:15.6,1,5.00E-08,0,19,1,140,0.759867088
9321,23:30.0,0.04,4.00E-08,6,7,8,6,0.014048414
9300,21:11.3,0.04,4.00E-08,5,28,17,209,0.023735664
375,17:33.1,0.1,2.00E-08,4,50,5,83,0.047281289
376,17:34.5,0.002,2.00E-08,9,41,17,92,0.000623906
8517,19:36.7,0.2,4.00E-08,3,46,22,127,0.094495539
5206,46:37.4,0.4,8.00E-08,2,10,6,17,0.189182838
379,18:45.1,1,5.00E-08,0,47,5,241,0.759871238
380,19:30.2,1,5.00E-08,1,11,14,38,0.379070169
381,20:15.6,1,5.00E-08,1,2,3,250,0.379070719
382,21:02.1,1,5.00E-08,0,29,13,97,0.759867038
1541,17:23.5,0.04,4.00E-08,6,14,-10,236,0.014048454
384,21:17.9,0.1,2.00E-08,4,27,21,66,0.047280189
385,21:19.6,0.002,2.00E-08,8,20,-11,240,0.000905869
386,22:01.2,1,5.00E-08,1,22,-9,82,0.379072019
9536,54:41.5,0.04,4.00E-08,5,26,8,93,0.023735664
388,22:15.5,0.1,2.00E-08,4,50,20,168,0.047282989
389,22:17.1,0.002,2.00E-08,9,20,-4,169,0.000624126
2631,08:57.3,0.04,4.00E-08,6,30,16,128,0.014048454
2954,59:33.9,0.04,4.00E-08,6,29,-7,22,0.014048454
3066,14:41.7,0.04,4.00E-08,6,5,-15,234,0.014048454
393,22:29.4,0.002,2.00E-08,9,12,-3,72,0.000625806
147,34:35.5,0.04,4.00E-08,5,16,5,16,0.023735704
395,22:44.4,0.1,2.00E-08,4,19,-4,209,0.047280889
396,23:20.5,1,5.00E-08,0,47,11,254,0.759866388
5770,10:12.1,0.4,8.00E-08,2,37,-15,137,0.189182838
398,23:35.0,0.002,2.00E-08,9,36,16,105,0.000623746
399,24:17.2,1,5.00E-08,0,31,-5,37,0.759870838
6888,11:08.6,0.4,8.00E-08,2,31,-14,165,0.189182838
401,24:30.8,0.002,2.00E-08,8,3,-10,240,0.000906589
1484,11:16.2,0.04,4.00E-08,5,44,-16,175,0.023735704
403,25:15.5,1,5.00E-08,1,24,11,53,0.379071569
404,25:58.9,1,5.00E-08,1,46,-3,134,0.379073369
2086,46:19.3,0.04,4.00E-08,5,2,6,209,0.023735704
9174,02:43.6,0.2,4.00E-08,3,15,-1,198,0.094495539
407,26:57.0,1,5.00E-08,0,12,19,161,0.759866338
408,26:58.9,0.002,2.00E-08,8,27,-17,219,0.000905009
409,27:42.1,1,5.00E-08,1,33,10,251,0.379069869
410,28:21.9,1,5.00E-08,0,45,3,55,0.759869588
411,29:03.9,1,5.00E-08,0,6,3,11,0.759867638
412,29:05.6,0.002,2.00E-08,9,29,12,241,0.000625826
413,29:51.3,1,5.00E-08,1,33,12,30,0.379070869
3305,52:40.1,0.04,4.00E-08,6,37,-15,201,0.014048454
5517,31:30.9,0.04,4.00E-08,6,3,-17,191,0.014048454
416,30:38.7,1,5.00E-08,1,43,13,219,0.379071269
2820,38:49.5,0.2,4.00E-08,3,32,4,55,0.094495579
5638,50:19.0,0.04,4.00E-08,6,39,15,232,0.014048454
419,30:54.9,0.002,2.00E-08,9,2,-8,26,0.000622926
420,30:58.1,0.02,2.00E-08,7,43,19,254,0.007169907
421,31:08.4,0.1,2.00E-08,4,47,17,58,0.047282909
422,31:10.0,0.002,2.00E-08,8,24,-11,211,0.000906729
7905,47:29.0,0.4,8.00E-08,2,36,-15,102,0.189182838
424,32:07.1,1,5.00E-08,1,14,17,61,0.379069469
425,32:19.3,0.1,2.00E-08,4,22,7,34,0.047281789
6037,53:34.3,0.04,4.00E-08,6,3,21,67,0.014048454
427,33:06.6,1,5.00E-08,1,20,8,215,0.379075319
2433,41:42.6,0.04,4.00E-08,5,8,-2,125,0.023735704
7998,02:30.5,0.4,8.00E-08,2,15,2,130,0.189182838
430,33:21.7,0.002,2.00E-08,9,10,13,21,0.000625386
3493,18:36.1,0.04,4.00E-08,5,48,15,63,0.023735704
9952,55:44.3,0.04,4.00E-08,6,40,-2,126,0.014048454
433,33:29.2,0.02,2.00E-08,7,44,-2,24,0.007170087
434,33:37.3,0.1,2.00E-08,4,25,-4,209,0.047280089
435,33:40.2,0.02,2.00E-08,7,30,22,223,0.007170247
4921,58:35.0,0.04,4.00E-08,5,30,-1,180,0.023735704
437,33:44.2,0.002,2.00E-08,8,10,-17,91,0.000906449
438,33:51.9,0.1,2.00E-08,4,4,-12,89,0.047281409
439,33:59.9,0.1,2.00E-08,4,17,-10,214,0.047280649
440,34:07.7,0.1,2.00E-08,4,18,12,13,0.047280149
441,34:10.2,0.02,2.00E-08,7,39,-8,108,0.007171127
442,34:17.7,0.1,2.00E-08,4,46,-12,1,0.047280229
443,34:46.5,1,5.00E-08,0,44,-2,60,0.759867488
4778,35:20.2,0.2,4.00E-08,3,45,17,180,0.094495579
445,35:23.5,1,5.00E-08,0,3,-9,225,0.759866838
1132,19:47.0,0.04,4.00E-08,6,39,-14,196,0.014048494
447,35:27.5,0.002,2.00E-08,9,36,16,104,0.000623486
448,35:29.9,0.02,2.00E-08,7,25,8,133,0.007169567
449,35:58.8,1,5.00E-08,0,24,-17,147,0.759867088
8247,38:20.2,0.4,8.00E-08,2,2,-1,232,0.189182838
8715,50:17.6,0.4,8.00E-08,2,37,-11,82,0.189182838
452,36:17.6,0.02,2.00E-08,7,3,-1,143,0.007171387
453,36:46.7,1,5.00E-08,0,19,12,201,0.759866038
454,36:54.8,0.1,2.00E-08,4,20,-2,139,0.047280629
455,37:02.6,0.1,2.00E-08,4,3,2,57,0.047279729
2510,50:49.3,0.04,4.00E-08,6,11,6,37,0.014048494
9924,51:50.5,0.4,8.00E-08,2,4,22,196,0.189182838
2894,48:20.6,0.04,4.00E-08,6,45,-12,31,0.014048494
