sample,time,window,precision,offset,measured
130,2018-06-07 14:47:25.077532,0.0002,2.0000020000020002e-10,689,8.811248811248812e-05
131,2018-06-07 14:47:27.559920,0.0002,2.0000020000020002e-10,436,5.6529056529056535e-05
132,2018-06-07 14:47:29.672053,0.0002,2.0000020000020002e-10,465,6.0081860081860085e-05
133,2018-06-07 14:47:30.653213,3.9999999999999996e-05,4.000040000400004e-10,157,2.1657816578165782e-05
134,2018-06-07 14:47:32.960835,0.0001,1.0000010000010001e-10,368,2.400862400862401e-05
135,2018-06-07 14:47:35.455793,0.0002,2.0000020000020002e-10,543,6.985586985586986e-05
136,2018-06-07 14:47:37.860276,0.0002,2.0000020000020002e-10,450,5.816605816605817e-05
137,2018-06-07 14:47:40.032872,0.0002,2.0000020000020002e-10,758,9.670149670149671e-05
138,2018-06-07 14:47:42.922473,0.0001,1.0000010000010001e-10,335,2.191762191762192e-05
139,2018-06-07 14:47:45.085336,0.0002,2.0000020000020002e-10,771,9.837709837709839e-05
140,2018-06-07 14:47:47.341210,0.0001,1.0000010000010001e-10,223,1.4897314897314899e-05
141,2018-06-07 14:47:49.832916,0.0002,2.0000020000020002e-10,587,7.534867534867535e-05
142,2018-06-07 14:47:52.121038,0.0002,2.0000020000020002e-10,478,6.16998616998617e-05
143,2018-06-07 14:47:54.556765,0.0002,2.0000020000020002e-10,561,7.21028721028721e-05
144,2018-06-07 14:47:55.504393,3.9999999999999996e-05,4.000040000400004e-10,95,1.3828138281382813e-05
145,2018-06-07 14:47:57.567241,0.0002,2.0000020000020002e-10,427,5.53956553956554e-05
146,2018-06-07 14:47:59.617601,0.0002,2.0000020000020002e-10,744,9.499889499889501e-05
147,2018-06-07 14:48:01.839508,0.0002,2.0000020000020002e-10,489,6.313606313606314e-05
148,2018-06-07 14:48:03.947311,0.0001,1.0000010000010001e-10,290,1.9110619110619113e-05
149,2018-06-07 14:48:06.056260,0.0002,2.0000020000020002e-10,648,8.2989682989683e-05
150,2018-06-07 14:48:08.665423,0.0001,1.0000010000010001e-10,261,1.7271317271317272e-05
151,2018-06-07 14:48:11.228653,0.0002,2.0000020000020002e-10,707,9.03906903906904e-05
152,2018-06-07 14:48:13.855905,0.0001,1.0000010000010001e-10,262,1.7344017344017344e-05
153,2018-06-07 14:48:16.191412,0.0001,1.0000010000010001e-10,329,2.156492156492157e-05
154,2018-06-07 14:48:18.410850,0.0001,1.0000010000010001e-10,363,2.368632368632369e-05
155,2018-06-07 14:48:21.252883,0.0002,2.0000020000020002e-10,539,6.932286932286933e-05
156,2018-06-07 14:48:23.748204,0.0002,2.0000020000020002e-10,472,6.0994460994461e-05
157,2018-06-07 14:48:24.710919,3.9999999999999996e-05,4.000040000400004e-10,136,1.8934189341893417e-05
158,2018-06-07 14:48:25.613614,3.9999999999999996e-05,4.000040000400004e-10,116,1.6475764757647577e-05
159,2018-06-07 14:48:27.973450,0.0001,1.0000010000010001e-10,376,2.4500424500424503e-05
160,2018-06-07 14:48:30.312421,0.0001,1.0000010000010001e-10,198,1.336991336991337e-05
161,2018-06-07 14:48:32.604238,0.0002,2.0000020000020002e-10,588,7.552907552907554e-05
162,2018-06-07 14:48:34.941065,0.0002,2.0000020000020002e-10,416,5.3943253943253946e-05
163,2018-06-07 14:48:37.414814,0.0002,2.0000020000020002e-10,759,9.689529689529691e-05
164,2018-06-07 14:48:39.750146,0.0002,2.0000020000020002e-10,773,9.856789856789858e-05
165,2018-06-07 14:48:42.137987,0.0002,2.0000020000020002e-10,593,7.615307615307616e-05
166,2018-06-07 14:48:44.519182,0.0002,2.0000020000020002e-10,667,8.534148534148535e-05
167,2018-06-07 14:48:47.044009,0.0002,2.0000020000020002e-10,490,6.326726326726327e-05
168,2018-06-07 14:48:48.056279,3.9999999999999996e-05,4.000040000400004e-10,95,1.3840938409384094e-05
169,2018-06-07 14:48:50.912189,0.0002,2.0000020000020002e-10,481,6.20882620882621e-05
170,2018-06-07 14:48:53.384950,0.0002,2.0000020000020002e-10,657,8.406248406248408e-05
171,2018-06-07 14:48:55.599880,0.0001,1.0000010000010001e-10,169,1.156001156001156e-05
172,2018-06-07 14:48:57.940018,0.0002,2.0000020000020002e-10,736,9.398349398349399e-05
173,2018-06-07 14:49:00.405999,0.0001,1.0000010000010001e-10,161,1.1064711064711065e-05
174,2018-06-07 14:49:02.918883,0.0001,1.0000010000010001e-10,389,2.529062529062529e-05
175,2018-06-07 14:49:05.596490,0.0001,1.0000010000010001e-10,222,1.4852514852514853e-05
176,2018-06-07 14:49:08.179162,0.0001,1.0000010000010001e-10,166,1.1387211387211388e-05
177,2018-06-07 14:49:11.134545,0.0002,2.0000020000020002e-10,653,8.363628363628365e-05
178,2018-06-07 14:49:13.989282,0.0002,2.0000020000020002e-10,633,8.114948114948116e-05
179,2018-06-07 14:49:16.742281,0.0001,1.0000010000010001e-10,384,2.5010825010825013e-05
180,2018-06-07 14:49:19.246493,0.0002,2.0000020000020002e-10,540,6.950606950606951e-05
181,2018-06-07 14:49:21.789634,0.0002,2.0000020000020002e-10,453,5.8649258649258655e-05
182,2018-06-07 14:49:24.344841,0.0002,2.0000020000020002e-10,596,7.651447651447652e-05
183,2018-06-07 14:49:26.822641,0.0002,2.0000020000020002e-10,745,9.512269512269512e-05
184,2018-06-07 14:49:29.371378,0.0002,2.0000020000020002e-10,460,5.9438859438859444e-05
185,2018-06-07 14:49:31.695035,0.0001,1.0000010000010001e-10,264,1.7466317466317468e-05
186,2018-06-07 14:49:34.037527,0.0002,2.0000020000020002e-10,698,8.917708917708918e-05
187,2018-06-07 14:49:36.299917,0.0002,2.0000020000020002e-10,439,5.68956568956569e-05
188,2018-06-07 14:49:38.804190,0.0002,2.0000020000020002e-10,583,7.482827482827484e-05
189,2018-06-07 14:49:40.923849,0.0002,2.0000020000020002e-10,563,7.239967239967241e-05
190,2018-06-07 14:49:43.115854,0.0001,1.0000010000010001e-10,218,1.4593614593614595e-05
191,2018-06-07 14:49:45.343364,0.0001,1.0000010000010001e-10,378,2.4596224596224597e-05
192,2018-06-07 14:49:48.062312,0.0001,1.0000010000010001e-10,278,1.838041838041838e-05
193,2018-06-07 14:49:49.098054,3.9999999999999996e-05,4.000040000400004e-10,91,1.3364533645336453e-05
194,2018-06-07 14:49:51.787860,0.0002,2.0000020000020002e-10,727,9.288609288609289e-05
