sample,time,window,precision,modulation,band,power,payload,tx2txdone
83,2018-06-05 13:18:06.188564,1.0,2.00000040000008e-07,6,19,-1,229,0.20820944164188832
84,2018-06-05 13:18:18.170085,1.0,2.00000040000008e-07,4,34,9,162,0.4656148931229786
85,2018-06-05 13:18:30.961085,1.0,2.00000040000008e-07,5,16,1,200,0.3148322629664526
86,2018-06-05 13:18:50.579086,4.0,8.00000160000032e-07,1,38,15,73,1.675460335092067
87,2018-06-05 13:18:53.996086,0.4,4.000004000004e-07,6,22,18,111,0.10837010837010837
88,2018-06-05 13:18:57.689085,0.2,2.000002000002e-07,7,9,13,164,0.09141129141129141
89,2018-06-05 13:19:57.659083,10.0,5.000000250000012e-07,1,49,1,150,3.0680871534043574
90,2018-06-05 13:20:12.499085,2.0,4.00000080000016e-07,2,44,6,103,1.0426334085266817
91,2018-06-05 13:20:13.937084,0.02,2.0000200002000021e-07,8,38,7,117,0.00856648566485665
92,2018-06-05 13:20:17.135085,0.2,2.000002000002e-07,4,6,12,23,0.10721810721810722
93,2018-06-05 13:20:20.232086,0.1,1.000001000001e-07,7,36,2,70,0.042770742770742776
94,2018-06-05 13:20:38.980085,4.0,8.00000160000032e-07,0,3,-1,19,1.3846474769294954
95,2018-06-05 13:20:50.699117,1.0,2.00000040000008e-07,5,19,17,161,0.25851345170269036
96,2018-06-05 13:20:53.785084,0.1,1.000001000001e-07,6,43,12,31,0.03925123925123925
97,2018-06-05 13:20:55.046086,0.02,2.0000200002000021e-07,8,46,13,74,0.005814458144581446
98,2018-06-05 13:20:56.343088,0.02,2.0000200002000021e-07,9,41,11,117,0.005434454344543446
99,2018-06-05 13:20:57.593086,0.02,2.0000200002000021e-07,9,11,22,197,0.00863428634286343
100,2018-06-05 13:21:59.510083,10.0,5.000000250000012e-07,1,9,0,185,3.7234411861720593
101,2018-06-05 13:22:02.934085,0.4,4.000004000004e-07,6,4,2,164,0.15445095445095447
102,2018-06-05 13:22:22.453084,4.0,8.00000160000032e-07,2,34,15,212,1.902785980557196
103,2018-06-05 13:23:24.853084,10.0,5.000000250000012e-07,0,6,2,100,4.00606320030316
104,2018-06-05 13:24:27.376086,10.0,5.000000250000012e-07,1,2,11,228,4.542633727131686
105,2018-06-05 13:24:46.088086,4.0,8.00000160000032e-07,3,51,0,222,1.0948570189714038
106,2018-06-05 13:24:48.856086,0.1,1.000001000001e-07,6,20,0,36,0.044372044372044374
107,2018-06-05 13:26:13.780555,20.0,1.0000000500000025e-06,0,16,-2,153,5.644447282222364
108,2018-06-05 13:26:25.566541,1.0,2.00000040000008e-07,4,47,13,84,0.26081705216341045
109,2018-06-05 13:26:39.797789,2.0,4.00000080000016e-07,0,3,19,8,0.8931317786263557
110,2018-06-05 13:26:40.815792,0.004,4.0004000400040005e-07,8,21,5,7,0.0015277527752775278
111,2018-06-05 13:26:55.405675,2.0,4.00000080000016e-07,4,28,5,207,0.5782561156512231
112,2018-06-05 13:27:38.702072,10.0,5.000000250000012e-07,2,27,7,252,
113,2018-06-05 13:27:50.892072,0.2,2.000002000002e-07,6,22,21,79,0.08021048021048022
114,2018-06-05 13:28:05.296424,2.0,4.00000080000016e-07,0,44,2,7,0.8931313786262757
115,2018-06-05 13:28:23.868732,4.0,8.00000160000032e-07,2,9,2,135,1.2883922576784514
116,2018-06-05 13:28:36.656762,1.0,2.00000040000008e-07,5,16,6,134,0.2226744445348889
117,2018-06-05 13:29:38.739520,10.0,5.000000250000012e-07,0,26,15,59,2.695354134767707
118,2018-06-05 13:29:52.695066,2.0,4.00000080000016e-07,2,8,8,78,0.8378353675670736
119,2018-06-05 13:30:05.368853,1.0,2.00000040000008e-07,5,0,18,134,0.2226730445346089
120,2018-06-05 13:30:08.340164,0.2,2.000002000002e-07,6,46,-1,74,0.07765047765047765
121,2018-06-05 13:30:39.227299,0.04,4.0000400004000043e-07,9,5,6,254,
122,2018-06-05 13:30:42.453297,0.4,4.000004000004e-07,7,16,7,226,0.12341092341092341
123,2018-06-05 13:31:45.353316,10.0,5.000000250000012e-07,1,15,8,149,3.0680876534043824
124,2018-06-05 13:31:48.392316,0.4,4.000004000004e-07,4,24,12,44,0.15841775841775843
125,2018-06-05 13:31:49.698352,0.04,4.0000400004000043e-07,8,11,16,179,0.012534925349253493
126,2018-06-05 13:31:51.010348,0.04,4.0000400004000043e-07,8,13,15,173,0.012150521505215053
127,2018-06-05 13:31:52.299321,0.02,2.0000200002000021e-07,9,12,0,135,0.006154261542615427
128,2018-06-05 13:32:05.349327,1.0,2.00000040000008e-07,4,33,8,117,0.34273686854737373
129,2018-06-05 13:32:36.254958,0.4,4.000004000004e-07,7,16,7,253,
130,2018-06-05 13:32:39.758955,0.2,2.000002000002e-07,7,40,18,101,0.05941205941205942
131,2018-06-05 13:32:41.070956,0.04,4.0000400004000043e-07,8,37,17,205,0.014200142001420016
