sample,time,window,precision,modulation,band,power,payload,measured
77,20:12.4,0.01,1.00E-07,7,28,5,1,0.007169872
332,31:35.8,0.1,1.00E-07,3,29,8,6,0.06992217
333,31:39.9,0.1,1.00E-07,3,15,-11,8,0.06992627
334,31:43.5,0.04,4.00E-08,5,23,18,14,0.017593738
335,31:47.6,0.04,4.00E-08,5,40,13,2,0.017594138
272,29:00.1,0.01,1.00E-07,7,1,12,8,0.007169672
337,31:52.9,0.1,1.00E-07,3,5,21,13,0.06992277
338,31:54.5,0.01,1.00E-07,7,14,10,13,0.007169372
339,31:55.8,0.001,1.00E-07,9,29,-17,8,0.000386139
340,32:00.1,0.1,1.00E-07,3,28,15,16,0.06992177
341,32:01.6,0.001,1.00E-07,9,44,-3,19,0.000385939
342,32:02.9,0.001,1.00E-07,9,24,21,13,0.000385339
343,32:06.5,0.1,1.00E-07,3,16,21,12,0.06992177
344,32:10.2,0.04,4.00E-08,5,47,6,1,0.017595378
37,18:45.6,0.01,1.00E-07,7,7,9,1,
346,32:15.8,0.1,1.00E-07,3,5,-17,12,0.06992347
347,32:17.3,0.001,1.00E-07,9,35,18,17,0.000386439
49,19:23.2,0.01,1.00E-07,7,31,20,1,
349,32:22.7,0.04,4.00E-08,5,38,2,20,0.017594178
55,19:36.0,0.01,1.00E-07,7,41,17,13,
351,32:27.7,0.04,4.00E-08,5,46,17,13,0.017597138
76,20:10.9,0.01,1.00E-07,7,18,-11,13,
353,32:30.5,0.001,1.00E-07,9,51,12,20,0.000385539
354,32:34.6,0.1,1.00E-07,3,38,-13,4,0.06992227
355,32:36.1,0.001,1.00E-07,9,19,5,16,0.000386939
356,32:39.6,0.04,4.00E-08,5,41,-10,19,0.017594898
357,32:43.6,0.04,4.00E-08,5,23,9,20,0.017594138
358,32:47.1,0.04,4.00E-08,5,13,1,15,0.017597098
359,32:48.5,0.001,1.00E-07,9,50,19,1,0.000385739
78,20:14.1,0.01,1.00E-07,7,23,9,20,
361,32:53.7,0.04,4.00E-08,5,24,14,12,0.017598538
362,32:57.4,0.04,4.00E-08,5,36,-6,17,0.017595018
127,22:31.4,0.01,1.00E-07,7,34,4,5,
364,33:02.9,0.04,4.00E-08,5,3,-11,15,0.017594538
193,25:44.8,0.01,1.00E-07,7,8,-1,11,
366,33:08.2,0.04,4.00E-08,5,25,13,6,0.017594138
367,33:12.0,0.04,4.00E-08,5,6,0,11,0.017596538
368,33:15.6,0.1,1.00E-07,3,22,-15,11,0.06992197
369,33:17.1,0.001,1.00E-07,9,27,22,10,0.000385739
203,26:03.8,0.01,1.00E-07,7,24,5,9,
371,33:19.9,0.001,1.00E-07,9,19,16,7,0.000387039
372,33:23.9,0.1,1.00E-07,3,39,7,11,0.06992387
229,27:08.6,0.01,1.00E-07,7,47,-1,10,
249,28:05.5,0.01,1.00E-07,7,20,17,6,
375,33:30.9,0.1,1.00E-07,3,35,19,14,0.06992587
250,28:07.1,0.01,1.00E-07,7,4,19,20,
377,33:36.4,0.04,4.00E-08,5,0,17,20,0.017593818
257,28:24.6,0.01,1.00E-07,7,48,1,18,
379,33:42.0,0.04,4.00E-08,5,16,22,1,0.017596858
258,28:26.1,0.01,1.00E-07,7,32,7,3,
381,33:44.8,0.001,1.00E-07,9,30,11,11,0.000387839
382,33:48.5,0.04,4.00E-08,5,10,0,19,0.017594538
383,33:52.7,0.04,4.00E-08,5,32,-6,4,0.017594178
384,33:56.8,0.04,4.00E-08,5,47,18,14,0.017596898
299,30:14.8,0.01,1.00E-07,7,4,4,4,
