sample,time,window,precision,modulation,band,preamble,offset,valid
114,2018-06-14 17:10:31.114533,1.0,1.000010000100001e-05,1,1,4,2468592,False
115,2018-06-14 17:10:32.654352,0.2,2.0002000200020003e-05,5,8,9,157914,True
116,2018-06-14 17:10:34.186712,0.2,2.0002000200020003e-05,5,49,12,275914,False
117,2018-06-14 17:10:37.530748,1.0,1.000010000100001e-05,1,11,5,1834509,True
118,2018-06-14 17:10:38.974676,0.1,1.0001000100010001e-05,7,4,3,21642,True
119,2018-06-14 17:10:40.394039,0.1,1.0001000100010001e-05,5,7,7,85917,True
120,2018-06-14 17:10:42.001260,0.2,2.0002000200020003e-05,4,42,10,311127,True
121,2018-06-14 17:10:43.533621,0.2,2.0002000200020003e-05,4,1,4,286161,True
122,2018-06-14 17:10:49.667856,2.0,2.000020000200002e-05,0,49,9,2980960,True
123,2018-06-14 17:10:51.208019,0.2,2.0002000200020003e-05,4,21,6,408488,False
124,2018-06-14 17:10:52.572334,0.04,4.004004004004004e-05,9,3,4,1591,True
125,2018-06-14 17:10:54.030207,0.1,1.0001000100010001e-05,5,45,12,48423,True
126,2018-06-14 17:10:55.467958,0.1,1.0001000100010001e-05,7,15,4,41593,True
127,2018-06-14 17:10:58.823076,1.0,1.000010000100001e-05,1,34,3,1053552,True
128,2018-06-14 17:11:02.015829,1.0,1.000010000100001e-05,3,22,12,1325266,False
129,2018-06-14 17:11:03.764557,0.4,4.0004000400040005e-05,3,6,8,645713,True
130,2018-06-14 17:11:05.147155,0.04,4.004004004004004e-05,9,26,11,1621,True
131,2018-06-14 17:11:06.691342,0.2,2.0002000200020003e-05,4,12,5,243316,True
132,2018-06-14 17:11:12.797122,2.0,2.000020000200002e-05,0,21,12,1408782,False
133,2018-06-14 17:11:23.550691,4.0,4.000040000400004e-05,0,38,7,5923327,False
134,2018-06-14 17:11:26.822644,1.0,1.000010000100001e-05,2,16,6,1380777,True
135,2018-06-14 17:11:28.360941,0.2,2.0002000200020003e-05,4,29,7,409858,False
136,2018-06-14 17:11:29.898169,0.2,2.0002000200020003e-05,6,24,12,182518,False
137,2018-06-14 17:11:31.324904,0.1,1.0001000100010001e-05,5,50,5,170524,False
138,2018-06-14 17:11:33.108313,0.4,4.0004000400040005e-05,3,44,10,978378,False
139,2018-06-14 17:11:39.037956,2.0,2.000020000200002e-05,0,16,5,2115399,True
140,2018-06-14 17:11:40.464788,0.1,1.0001000100010001e-05,6,40,11,81484,True
141,2018-06-14 17:11:41.890651,0.1,1.0001000100010001e-05,4,12,4,116340,False
142,2018-06-14 17:11:43.310538,0.1,1.0001000100010001e-05,5,40,8,141210,True
143,2018-06-14 17:11:44.681170,0.04,4.004004004004004e-05,8,32,8,5149,True
144,2018-06-14 17:11:46.005798,0.04,4.004004004004004e-05,8,44,7,7030,True
145,2018-06-14 17:11:47.458075,0.1,1.0001000100010001e-05,5,50,7,53502,False
146,2018-06-14 17:11:49.258893,0.4,4.0004000400040005e-05,2,13,8,266827,False
147,2018-06-14 17:12:00.009831,4.0,4.000040000400004e-05,0,16,7,5743020,False
148,2018-06-14 17:12:01.546127,0.2,2.0002000200020003e-05,5,34,10,171933,True
149,2018-06-14 17:12:02.981358,0.1,1.0001000100010001e-05,5,24,10,67384,True
150,2018-06-14 17:12:04.537099,0.2,2.0002000200020003e-05,4,41,11,28898,False
151,2018-06-14 17:12:05.964643,0.1,1.0001000100010001e-05,6,32,5,46542,True
152,2018-06-14 17:12:07.532337,0.2,2.0002000200020003e-05,3,16,6,225281,False
153,2018-06-14 17:12:10.852600,1.0,1.000010000100001e-05,2,23,11,2392686,False
154,2018-06-14 17:12:12.393188,0.2,2.0002000200020003e-05,4,12,7,342922,True
155,2018-06-14 17:12:15.818158,1.0,1.000010000100001e-05,1,51,9,62000,False
156,2018-06-14 17:12:17.370354,0.2,2.0002000200020003e-05,4,2,11,46864,False
157,2018-06-14 17:12:19.125374,0.4,4.0004000400040005e-05,3,28,7,911457,False
158,2018-06-14 17:12:20.671215,0.2,2.0002000200020003e-05,4,14,8,198113,True
159,2018-06-14 17:12:26.555431,2.0,2.000020000200002e-05,0,29,5,3538347,True
160,2018-06-14 17:12:32.384841,2.0,2.000020000200002e-05,0,13,4,3423347,True
161,2018-06-14 17:12:33.816610,0.1,1.0001000100010001e-05,7,43,9,36755,True
162,2018-06-14 17:12:35.243309,0.1,1.0001000100010001e-05,6,14,11,86126,True
163,2018-06-14 17:12:36.668570,0.1,1.0001000100010001e-05,7,47,7,33013,True
164,2018-06-14 17:12:42.548400,2.0,2.000020000200002e-05,1,39,11,3906182,False
165,2018-06-14 17:12:44.088675,0.2,2.0002000200020003e-05,5,35,12,318642,False
166,2018-06-14 17:12:50.230550,2.0,2.000020000200002e-05,0,42,9,1721013,False
167,2018-06-14 17:12:53.543757,1.0,1.000010000100001e-05,2,21,10,1872677,False
168,2018-06-14 17:12:55.294728,0.4,4.0004000400040005e-05,3,9,8,480966,True
169,2018-06-14 17:12:56.734259,0.1,1.0001000100010001e-05,5,46,12,45794,True
170,2018-06-14 17:12:58.501880,0.4,4.0004000400040005e-05,3,34,10,283278,True
171,2018-06-14 17:13:04.706841,2.0,2.000020000200002e-05,0,44,12,299040,False
172,2018-06-14 17:13:06.135300,0.1,1.0001000100010001e-05,5,23,3,41511,False
173,2018-06-14 17:13:07.712091,0.2,2.0002000200020003e-05,3,38,5,15963,False
174,2018-06-14 17:13:09.144696,0.1,1.0001000100010001e-05,6,26,10,123548,True
175,2018-06-14 17:13:10.708612,0.2,2.0002000200020003e-05,4,17,12,118547,True
176,2018-06-14 17:13:12.143350,0.1,1.0001000100010001e-05,5,15,4,99148,True
177,2018-06-14 17:13:13.567993,0.1,1.0001000100010001e-05,6,49,11,166345,False
178,2018-06-14 17:13:15.113164,0.2,2.0002000200020003e-05,5,7,11,179170,True
179,2018-06-14 17:13:16.651307,0.2,2.0002000200020003e-05,3,12,10,71170,False
180,2018-06-14 17:13:18.084054,0.1,1.0001000100010001e-05,6,27,12,26390,False
181,2018-06-14 17:13:23.915327,2.0,2.000020000200002e-05,1,18,9,2606575,True
182,2018-06-14 17:13:25.685291,0.4,4.0004000400040005e-05,3,1,12,323320,True
183,2018-06-14 17:13:27.132710,0.1,1.0001000100010001e-05,6,47,3,47127,True
184,2018-06-14 17:13:28.907801,0.4,4.0004000400040005e-05,3,40,12,880568,True
185,2018-06-14 17:13:30.341899,0.1,1.0001000100010001e-05,5,30,9,127199,True
186,2018-06-14 17:13:31.712668,0.04,4.004004004004004e-05,8,10,12,3597,True
187,2018-06-14 17:13:33.155374,0.1,1.0001000100010001e-05,5,43,6,52497,False
188,2018-06-14 17:13:34.589322,0.1,1.0001000100010001e-05,7,51,12,36629,True
189,2018-06-14 17:13:35.961704,0.04,4.004004004004004e-05,8,1,2,587,True
190,2018-06-14 17:13:37.282812,0.04,4.004004004004004e-05,8,31,6,670,True
191,2018-06-14 17:13:38.731310,0.1,1.0001000100010001e-05,5,24,12,15798,False
192,2018-06-14 17:13:44.583237,2.0,2.000020000200002e-05,1,41,11,2156987,True
193,2018-06-14 17:13:46.028304,0.1,1.0001000100010001e-05,5,8,10,90412,True
194,2018-06-14 17:13:47.397776,0.04,4.004004004004004e-05,8,36,3,1456,True
195,2018-06-14 17:13:48.725772,0.04,4.004004004004004e-05,8,46,7,272,False
196,2018-06-14 17:13:52.086969,1.0,1.000010000100001e-05,2,3,11,750865,True
197,2018-06-14 17:13:53.641177,0.2,2.0002000200020003e-05,4,2,7,457282,False
198,2018-06-14 17:13:57.106919,1.0,1.000010000100001e-05,1,48,12,96831,False
199,2018-06-14 17:13:58.477807,0.04,4.004004004004004e-05,9,34,7,5165,False
200,2018-06-14 17:14:01.827649,1.0,1.000010000100001e-05,2,44,10,1715946,False
201,2018-06-14 17:14:03.366305,0.2,2.0002000200020003e-05,4,6,3,281918,False
202,2018-06-14 17:14:04.739893,0.04,4.004004004004004e-05,8,39,4,3325,True
203,2018-06-14 17:14:06.300334,0.2,2.0002000200020003e-05,4,5,11,78736,False
204,2018-06-14 17:14:07.673555,0.04,4.004004004004004e-05,8,10,10,8902,True
205,2018-06-14 17:14:09.016617,0.04,4.004004004004004e-05,8,26,7,3257,True
206,2018-06-14 17:14:10.475560,0.1,1.0001000100010001e-05,6,47,10,6322,False
207,2018-06-14 17:14:16.638841,2.0,2.000020000200002e-05,0,1,9,1576139,False
208,2018-06-14 17:14:22.627975,2.0,2.000020000200002e-05,0,7,9,1092390,False
209,2018-06-14 17:14:33.584019,4.0,4.000040000400004e-05,0,40,10,5471310,True
210,2018-06-14 17:14:35.146044,0.2,2.0002000200020003e-05,4,42,8,445617,False
211,2018-06-14 17:14:36.691001,0.2,2.0002000200020003e-05,5,24,12,310989,False
212,2018-06-14 17:14:38.235113,0.2,2.0002000200020003e-05,4,49,6,266030,True
213,2018-06-14 17:14:39.687183,0.1,1.0001000100010001e-05,4,39,3,108779,False
214,2018-06-14 17:14:50.552422,4.0,4.000040000400004e-05,0,7,8,6855401,False
215,2018-06-14 17:14:56.460536,2.0,2.000020000200002e-05,1,47,12,4574534,False
216,2018-06-14 17:14:57.906387,0.1,1.0001000100010001e-05,6,30,12,137505,False
217,2018-06-14 17:14:59.347326,0.1,1.0001000100010001e-05,5,19,8,113186,True
218,2018-06-14 17:15:00.737429,0.04,4.004004004004004e-05,8,35,2,1075,True
219,2018-06-14 17:15:02.174600,0.1,1.0001000100010001e-05,7,41,4,2416,True
220,2018-06-14 17:15:03.542436,0.04,4.004004004004004e-05,9,20,4,1171,False
221,2018-06-14 17:15:05.096160,0.2,2.0002000200020003e-05,4,12,10,74328,False
222,2018-06-14 17:15:06.869163,0.4,4.0004000400040005e-05,2,27,3,239970,False
223,2018-06-14 17:15:08.307846,0.1,1.0001000100010001e-05,7,0,6,6803,True
224,2018-06-14 17:15:09.861983,0.2,2.0002000200020003e-05,4,28,8,327542,True
225,2018-06-14 17:15:11.288558,0.1,1.0001000100010001e-05,7,49,10,3551,False
226,2018-06-14 17:15:12.731004,0.1,1.0001000100010001e-05,6,40,4,26788,True
227,2018-06-14 17:15:18.562324,2.0,2.000020000200002e-05,0,40,3,3273363,True
228,2018-06-14 17:15:29.377036,4.0,4.000040000400004e-05,0,14,9,5777555,True
