sample,time,window,precision,modulation,band,payload,measured
92,2018-06-07 10:53:36.686645,0.002,2.000020000200002e-08,8,7,254,0.0004886248862488625
93,2018-06-07 10:53:37.535957,0.002,2.000020000200002e-08,6,12,254,0.0005271052710527106
94,2018-06-07 10:53:38.396643,0.002,2.000020000200002e-08,8,42,254,0.00048442484424844254
95,2018-06-07 10:53:39.256449,0.002,2.000020000200002e-08,6,5,254,0.0005269252692526925
96,2018-06-07 10:53:40.158137,0.002,2.000020000200002e-08,9,12,254,0.00048520485204852054
97,2018-06-07 10:53:41.015652,0.002,2.000020000200002e-08,5,50,254,0.0005303053030530306
98,2018-06-07 10:53:41.914939,0.002,2.000020000200002e-08,6,1,254,0.0005375253752537526
99,2018-06-07 10:53:42.821177,0.002,2.000020000200002e-08,4,30,254,0.0005382653826538266
100,2018-06-07 10:53:43.774039,0.002,2.000020000200002e-08,1,18,254,0.0005307053070530706
101,2018-06-07 10:53:44.645486,0.002,2.000020000200002e-08,6,32,254,0.0005307853078530786
102,2018-06-07 10:53:45.507836,0.002,2.000020000200002e-08,0,48,254,0.0005278852788527886
103,2018-06-07 10:53:46.371544,0.002,2.000020000200002e-08,1,38,254,0.0005268652686526865
104,2018-06-07 10:53:47.274807,0.002,2.000020000200002e-08,0,21,254,0.0005302253022530226
105,2018-06-07 10:53:48.144854,0.002,2.000020000200002e-08,0,27,254,0.0005268852688526885
106,2018-06-07 10:53:49.005062,0.002,2.000020000200002e-08,7,14,254,0.0005253452534525345
107,2018-06-07 10:53:49.867153,0.002,2.000020000200002e-08,2,48,254,0.0005278252782527826
108,2018-06-07 10:53:50.738150,0.002,2.000020000200002e-08,6,26,254,0.0005268252682526825
109,2018-06-07 10:53:51.649793,0.002,2.000020000200002e-08,9,37,254,0.0004852848528485285
110,2018-06-07 10:53:52.509343,0.002,2.000020000200002e-08,0,3,254,0.0005261052610526105
111,2018-06-07 10:53:53.407486,0.002,2.000020000200002e-08,6,50,254,0.0005381653816538166
112,2018-06-07 10:53:54.268696,0.002,2.000020000200002e-08,2,20,254,0.0005296252962529625
113,2018-06-07 10:53:55.167623,0.002,2.000020000200002e-08,3,5,254,0.0005268252682526825
114,2018-06-07 10:53:56.029223,0.002,2.000020000200002e-08,9,49,254,0.00048522485224852254
115,2018-06-07 10:53:56.890286,0.002,2.000020000200002e-08,2,8,254,0.0005271452714527146
116,2018-06-07 10:53:57.749953,0.002,2.000020000200002e-08,4,6,254,0.0005386853868538686
117,2018-06-07 10:53:58.611511,0.002,2.000020000200002e-08,6,0,254,0.0005320653206532065
118,2018-06-07 10:53:59.471409,0.002,2.000020000200002e-08,9,44,254,0.00048618486184861853
119,2018-06-07 10:54:00.332518,0.002,2.000020000200002e-08,0,27,254,0.0005286052860528606
120,2018-06-07 10:54:01.205165,0.002,2.000020000200002e-08,9,27,254,0.00048518485184851853
121,2018-06-07 10:54:02.105497,0.002,2.000020000200002e-08,3,35,254,0.0005295052950529506
122,2018-06-07 10:54:02.965860,0.002,2.000020000200002e-08,0,34,254,0.0005295652956529566
123,2018-06-07 10:54:03.877077,0.002,2.000020000200002e-08,8,0,254,0.00048700487004870054
124,2018-06-07 10:54:04.749308,0.002,2.000020000200002e-08,2,22,254,0.0005252852528525285
