sample,time,window,precision,modulation,band,rx2rf
106,2018-05-31 18:47:00.618543,0.0004,4.0000400004000045e-09,7,32,8.53368533685337e-05
107,2018-05-31 18:47:01.715552,0.0004,4.0000400004000045e-09,7,41,8.530485304853049e-05
108,2018-05-31 18:47:02.739543,0.0004,4.0000400004000045e-09,9,45,8.50848508485085e-05
109,2018-05-31 18:47:03.680540,0.0004,4.0000400004000045e-09,3,8,8.52328523285233e-05
110,2018-05-31 18:47:04.628540,0.0004,4.0000400004000045e-09,8,50,8.50848508485085e-05
111,2018-05-31 18:47:05.649539,0.0004,4.0000400004000045e-09,9,49,8.49848498484985e-05
112,2018-05-31 18:47:06.554540,0.0004,4.0000400004000045e-09,9,28,8.49368493684937e-05
113,2018-05-31 18:47:07.535541,0.0004,4.0000400004000045e-09,4,44,8.53288532885329e-05
114,2018-05-31 18:47:08.476540,0.0004,4.0000400004000045e-09,1,17,8.52288522885229e-05
115,2018-05-31 18:47:09.458542,0.0004,4.0000400004000045e-09,0,33,8.526485264852649e-05
116,2018-05-31 18:47:10.436542,0.0004,4.0000400004000045e-09,2,26,8.53448534485345e-05
117,2018-05-31 18:47:11.455543,0.0004,4.0000400004000045e-09,1,7,8.524885248852489e-05
118,2018-05-31 18:47:12.446543,0.0004,4.0000400004000045e-09,1,32,8.53248532485325e-05
119,2018-05-31 18:47:13.469538,0.0004,4.0000400004000045e-09,0,30,8.51848518485185e-05
120,2018-05-31 18:47:14.536540,0.0004,4.0000400004000045e-09,1,34,8.52368523685237e-05
121,2018-05-31 18:47:15.511540,0.0004,4.0000400004000045e-09,4,8,8.520085200852009e-05
122,2018-05-31 18:47:16.457542,0.0004,4.0000400004000045e-09,4,19,8.52328523285233e-05
123,2018-05-31 18:47:17.480551,0.0004,4.0000400004000045e-09,4,41,8.52288522885229e-05
124,2018-05-31 18:47:18.381542,0.0004,4.0000400004000045e-09,3,26,8.52928529285293e-05
125,2018-05-31 18:47:19.370541,0.0004,4.0000400004000045e-09,5,3,8.530485304853049e-05
126,2018-05-31 18:47:20.349540,0.0004,4.0000400004000045e-09,4,14,8.520485204852049e-05
127,2018-05-31 18:47:21.451547,0.0004,4.0000400004000045e-09,2,37,8.52808528085281e-05
128,2018-05-31 18:47:22.429540,0.0004,4.0000400004000045e-09,3,2,8.53728537285373e-05
129,2018-05-31 18:47:23.446540,0.0004,4.0000400004000045e-09,5,8,8.52848528485285e-05
130,2018-05-31 18:47:24.356541,0.0004,4.0000400004000045e-09,7,51,8.53768537685377e-05
131,2018-05-31 18:47:25.302539,0.0004,4.0000400004000045e-09,7,48,8.521285212852129e-05
132,2018-05-31 18:47:26.365539,0.0004,4.0000400004000045e-09,6,36,8.52888528885289e-05
133,2018-05-31 18:47:27.348565,0.0004,4.0000400004000045e-09,6,33,8.53248532485325e-05
134,2018-05-31 18:47:28.380569,0.0004,4.0000400004000045e-09,3,36,8.53208532085321e-05
135,2018-05-31 18:47:29.327562,0.0004,4.0000400004000045e-09,0,51,8.52808528085281e-05
136,2018-05-31 18:47:30.276088,0.0004,4.0000400004000045e-09,1,29,8.51848518485185e-05
137,2018-05-31 18:47:31.218087,0.0004,4.0000400004000045e-09,0,10,8.53328533285333e-05
138,2018-05-31 18:47:32.205113,0.0004,4.0000400004000045e-09,2,25,8.53328533285333e-05
139,2018-05-31 18:47:33.234104,0.0004,4.0000400004000045e-09,7,15,8.526085260852609e-05
140,2018-05-31 18:47:34.336103,0.0004,4.0000400004000045e-09,4,11,8.534885348853489e-05
141,2018-05-31 18:47:35.437105,0.0004,4.0000400004000045e-09,3,23,8.52928529285293e-05
142,2018-05-31 18:47:36.382108,0.0004,4.0000400004000045e-09,5,10,8.53208532085321e-05
143,2018-05-31 18:47:37.364540,0.0004,4.0000400004000045e-09,8,51,8.50368503685037e-05
144,2018-05-31 18:47:38.465059,0.0004,4.0000400004000045e-09,7,37,8.520485204852049e-05
145,2018-05-31 18:47:39.451058,0.0004,4.0000400004000045e-09,2,29,8.530885308853089e-05
146,2018-05-31 18:47:40.512086,0.0004,4.0000400004000045e-09,8,50,8.505685056850569e-05
147,2018-05-31 18:47:41.543086,0.0004,4.0000400004000045e-09,2,28,8.51928519285193e-05
148,2018-05-31 18:47:42.570141,0.0004,4.0000400004000045e-09,5,23,8.52808528085281e-05
149,2018-05-31 18:47:43.670140,0.0004,4.0000400004000045e-09,4,0,8.52248522485225e-05
150,2018-05-31 18:47:44.613146,0.0004,4.0000400004000045e-09,1,25,8.51848518485185e-05
151,2018-05-31 18:47:45.639150,0.0004,4.0000400004000045e-09,6,50,8.52328523285233e-05
152,2018-05-31 18:47:46.744142,0.0004,4.0000400004000045e-09,6,20,8.52728527285273e-05
153,2018-05-31 18:47:47.769142,0.0004,4.0000400004000045e-09,9,9,8.50328503285033e-05
154,2018-05-31 18:47:48.872142,0.0004,4.0000400004000045e-09,1,21,8.52968529685297e-05
155,2018-05-31 18:47:49.815141,0.0004,4.0000400004000045e-09,7,16,8.53208532085321e-05
156,2018-05-31 18:47:50.799142,0.0004,4.0000400004000045e-09,8,37,8.501685016850169e-05
157,2018-05-31 18:47:51.780140,0.0004,4.0000400004000045e-09,3,2,8.53248532485325e-05
158,2018-05-31 18:47:52.690142,0.0004,4.0000400004000045e-09,9,33,8.50368503685037e-05
159,2018-05-31 18:47:53.669140,0.0004,4.0000400004000045e-09,7,24,8.53328533285333e-05
