sample,time,window,precision,modulation,band,preamble,offset_1,offset_2,valid
5220,00:00.0,0.04,4.00E-05,7,1,10,17220,61378,True
5221,00:00.0,1,1.00E-05,2,37,10,1729848,4004666,False
5222,00:00.0,2,2.00E-05,0,30,5,1076993,5570370,False
5223,00:00.0,4,4.00E-05,0,48,12,5920163,12607061,True
5224,00:00.0,0.04,4.00E-05,9,30,8,5388,11139,False
5225,00:00.0,1,1.00E-05,1,33,7,1250917,2860310,True
5226,00:00.0,0.2,2.00E-05,4,9,7,389579,816052,False
5227,00:00.0,0.2,2.00E-05,3,10,3,293392,682304,False
5228,00:00.0,0.4,4.00E-05,4,41,9,484950,1004031,False
5229,00:00.0,0.04,4.00E-05,7,47,3,24674,68137,True
5230,00:00.0,0.1,1.00E-05,6,35,9,142953,293377,False
5231,00:00.0,1,1.00E-05,2,9,10,313416,1932077,True
5232,00:00.0,2,2.00E-05,0,18,7,2335459,9701429,True
5233,00:00.0,0.2,2.00E-05,4,15,7,418356,839298,False
5234,00:00.0,0.1,1.00E-05,5,41,5,36849,209549,False
5235,00:00.0,0.2,2.00E-05,4,6,11,108174,421063,False
5236,00:00.0,0.04,4.00E-05,8,22,3,3355,6853,True
5237,00:00.0,0.1,1.00E-05,7,22,7,46107,103734,True
5238,00:00.0,0.4,4.00E-05,3,11,4,450468,1115399,True
5239,00:00.0,0.04,4.00E-05,9,23,4,3146,6300,True
5240,00:00.0,1,1.00E-05,2,33,5,1119090,2500321,True
5241,00:00.0,0.04,4.00E-05,7,50,8,9902,26948,False
5242,00:00.0,0.2,2.00E-05,4,2,6,384065,769218,False
5243,00:00.0,4,4.00E-05,0,31,11,6450194,12900730,True
5244,00:00.0,1,1.00E-05,2,16,11,1196114,3257193,True
5245,00:00.0,1,1.00E-05,1,43,3,2035024,4120137,True
5246,00:00.0,0.04,4.00E-05,9,2,5,1731,3496,True
5247,00:00.0,0.04,4.00E-05,9,34,4,2600,5388,True
5248,00:00.0,0.2,2.00E-05,4,4,10,206188,508713,True
5249,00:00.0,1,1.00E-05,1,2,10,311106,927623,False
5250,00:00.0,0.1,1.00E-05,6,29,11,76637,186253,True
5251,00:00.0,2,2.00E-05,1,5,5,2952276,5927235,False
5252,00:00.0,0.2,2.00E-05,4,47,7,312568,648073,True
5253,00:00.0,1,1.00E-05,2,16,11,596382,1681653,True
5254,00:00.0,2,2.00E-05,0,11,6,4851663,10067963,True
5255,00:00.0,0.2,2.00E-05,4,10,4,269502,553143,True
5256,00:00.0,0.2,2.00E-05,4,12,10,357159,739323,True
5257,00:00.0,0.04,4.00E-05,8,31,2,630,3024,True
5258,00:00.0,0.1,1.00E-05,4,19,4,25200,230850,False
5259,00:00.0,0.1,1.00E-05,7,40,11,85600,172280,False
5260,00:00.0,1,1.00E-05,1,16,7,1242279,2567090,True
5261,00:00.0,0.1,1.00E-05,4,25,5,78890,337513,False
5262,00:00.0,0.04,4.00E-05,9,18,2,1047,2520,True
5263,00:00.0,0.2,2.00E-05,4,36,8,312259,812516,True
5264,00:00.0,1,1.00E-05,2,44,7,1533758,3160877,False
5265,00:00.0,0.04,4.00E-05,9,38,2,1471,2980,True
5266,00:00.0,1,1.00E-05,2,32,9,1214195,2451268,True
5267,00:00.0,1,1.00E-05,1,6,7,1799548,4437976,True
5268,00:00.0,0.2,2.00E-05,4,46,7,392741,816854,False
5269,00:00.0,0.04,4.00E-05,6,11,4,10579,42238,True
5270,00:00.0,0.1,1.00E-05,6,50,5,74802,178910,True
5271,00:00.0,1,1.00E-05,1,32,4,1161688,2575629,True
5272,00:00.0,4,4.00E-05,0,39,8,5758773,12324489,False
5273,00:00.0,1,1.00E-05,1,12,5,1827010,4699124,True
5274,00:00.0,0.04,4.00E-05,7,40,3,10742,54938,True
5275,00:00.0,1,1.00E-05,2,9,11,1913771,3851766,False
5276,00:00.0,0.1,1.00E-05,7,10,7,35885,94246,True
5277,00:00.0,0.1,1.00E-05,5,1,9,53618,134847,False
5278,00:00.0,0.1,1.00E-05,6,51,11,164280,334273,False
5279,00:00.0,0.1,1.00E-05,6,24,12,103650,267082,True
5280,00:00.0,2,2.00E-05,1,16,12,3994778,8288098,False
5281,00:00.0,0.1,1.00E-05,7,21,12,55447,113186,True
5282,00:00.0,0.1,1.00E-05,4,44,5,28239,204354,False
5283,00:00.0,0.04,4.00E-05,7,51,11,15379,44797,False
5284,00:00.0,0.1,1.00E-05,6,25,5,37998,121448,True
5285,00:00.0,0.1,1.00E-05,7,48,9,76621,153990,False
5286,00:00.0,0.04,4.00E-05,8,39,10,260,2067,False
5287,00:00.0,0.04,4.00E-05,8,23,8,1150,3637,True
5288,00:00.0,0.1,1.00E-05,5,51,4,156045,323720,False
5289,00:00.0,0.1,1.00E-05,6,14,5,62962,148667,True
5290,00:00.0,1,1.00E-05,2,21,3,1069009,2189209,True
5291,00:00.0,0.2,2.00E-05,4,45,6,404328,812952,False
5292,00:00.0,0.2,2.00E-05,2,7,5,196452,472215,False
5293,00:00.0,0.04,4.00E-05,9,10,3,39,1450,False
5294,00:00.0,0.1,1.00E-05,5,27,10,180794,376848,True
5295,00:00.0,0.4,4.00E-05,3,17,8,444363,1117003,True
5296,00:00.0,0.04,4.00E-05,9,7,4,642,1888,False
5297,00:00.0,2,2.00E-05,0,37,5,2797882,8369842,True
5298,00:00.0,0.4,4.00E-05,3,16,7,126936,926712,False
5299,00:00.0,0.1,1.00E-05,7,23,9,53625,108513,True
5300,00:00.0,0.2,2.00E-05,5,30,10,196496,483450,True
5301,00:00.0,0.1,1.00E-05,6,32,5,73178,181907,True
5302,00:00.0,1,1.00E-05,0,31,6,748907,2020130,False
5303,00:00.0,0.04,4.00E-05,7,31,3,40260,80718,True
5304,00:00.0,1,1.00E-05,1,38,4,1036212,2799469,True
5305,00:00.0,0.1,1.00E-05,5,15,9,29861,85988,False
5306,00:00.0,0.2,2.00E-05,3,9,3,16169,468665,False
5307,00:00.0,1,1.00E-05,3,42,10,997139,2080848,False
5308,00:00.0,1,1.00E-05,2,46,10,752706,2267827,True
5309,00:00.0,0.1,1.00E-05,4,38,4,13352,193052,False
5310,00:00.0,0.2,2.00E-05,4,43,5,289972,635539,True
5311,00:00.0,0.1,1.00E-05,7,34,10,80442,162436,False
5312,00:00.0,0.04,4.00E-05,9,46,8,4626,10395,True
5313,00:00.0,1,1.00E-05,2,44,3,952886,2085844,True
5314,00:00.0,0.1,1.00E-05,5,12,9,8033,29396,False
5315,00:00.0,0.4,4.00E-05,3,17,10,111856,1080830,False
5316,00:00.0,2,2.00E-05,1,0,9,3756895,7546052,False
5317,00:00.0,0.1,1.00E-05,6,16,11,95333,210661,True
5318,00:00.0,4,4.00E-05,0,23,7,5270885,12227628,True
5319,00:00.0,0.4,4.00E-05,4,15,12,566111,1231625,False
5320,00:00.0,0.04,4.00E-05,7,39,8,33461,73137,True
5321,00:00.0,1,1.00E-05,1,34,4,1178990,3485791,True
5322,00:00.0,0.4,4.00E-05,3,3,4,412051,1064880,True
5323,00:00.0,0.1,1.00E-05,6,9,10,22827,94795,False
5324,00:00.0,0.2,2.00E-05,5,11,9,251536,519885,False
5325,00:00.0,0.04,4.00E-05,9,51,11,5239,10717,True
5326,00:00.0,0.2,2.00E-05,4,39,9,161905,555398,True
5327,00:00.0,1,1.00E-05,2,34,9,1034812,2464100,True
5328,00:00.0,0.04,4.00E-05,9,17,4,600,2092,False
5329,00:00.0,0.2,2.00E-05,3,27,5,357579,802659,True
5330,00:00.0,0.04,4.00E-05,9,44,8,1007,2221,False
5331,00:00.0,1,1.00E-05,2,39,4,792098,2043181,True
5332,00:00.0,0.2,2.00E-05,5,35,11,255471,546089,False
5333,00:00.0,0.1,1.00E-05,6,18,3,74490,150870,True
5334,00:00.0,0.04,4.00E-05,9,12,11,5459,12834,True
5335,00:00.0,0.04,4.00E-05,6,29,8,1377,43386,False
5336,00:00.0,0.04,4.00E-05,8,15,11,1017,14288,True
5337,00:00.0,0.4,4.00E-05,2,34,6,352474,1441865,False
5338,00:00.0,0.04,4.00E-05,9,2,11,2177,8910,True
5339,00:00.0,0.04,4.00E-05,9,41,5,3459,6938,True
5340,00:00.0,0.1,1.00E-05,5,32,4,159633,320750,False
5341,00:00.0,1,1.00E-05,3,43,12,1280363,2572271,False
5342,00:00.0,0.04,4.00E-05,9,50,7,3834,9038,True
5343,00:00.0,0.04,4.00E-05,8,21,11,7067,20059,True
5344,00:00.0,1,1.00E-05,0,26,4,1479568,3927007,False
5345,00:00.0,1,1.00E-05,3,42,10,1026553,2119658,False
5346,00:00.0,4,4.00E-05,0,22,10,7285717,14823360,False
5347,00:00.0,4,4.00E-05,0,21,12,5403134,14294202,True
5348,00:00.0,2,2.00E-05,0,36,3,2423524,6866683,False
5349,00:00.0,2,2.00E-05,0,31,9,3930616,9220546,True
5350,00:00.0,0.04,4.00E-05,7,15,7,16187,66999,True
5351,00:00.0,0.04,4.00E-05,8,18,10,9029,20819,True
5352,00:00.0,1,1.00E-05,3,21,11,937193,2133795,False
5353,00:00.0,1,1.00E-05,2,1,11,609908,2297615,True
5354,00:00.0,0.04,4.00E-05,8,10,8,5897,15802,True
5355,00:00.0,0.1,1.00E-05,5,10,9,124530,251389,True
5356,00:00.0,0.04,4.00E-05,6,19,5,4739,56073,False
5357,00:00.0,0.1,1.00E-05,6,11,6,92993,192993,True
5358,00:00.0,0.04,4.00E-05,8,36,12,6704,21091,True
5359,00:00.0,0.04,4.00E-05,7,48,9,32670,71707,True
5360,00:00.0,0.1,1.00E-05,5,31,7,87454,292060,True
5361,00:00.0,2,2.00E-05,1,47,10,3226416,6762461,True
5362,00:00.0,0.1,1.00E-05,7,21,10,37283,90587,True
5363,00:00.0,0.04,4.00E-05,8,35,10,1091,4064,True
5364,00:00.0,0.1,1.00E-05,6,4,9,70378,151372,True
5365,00:00.0,0.04,4.00E-05,8,24,5,6174,12367,True
5366,00:00.0,0.04,4.00E-05,9,6,2,463,1034,False
5367,00:00.0,2,2.00E-05,0,31,3,4514546,9260042,False
5368,00:00.0,0.4,4.00E-05,4,9,10,538384,1082824,False
5369,00:00.0,0.04,4.00E-05,8,37,2,1427,3337,True
5370,00:00.0,0.4,4.00E-05,2,46,9,42126,1032249,False
5371,00:00.0,4,4.00E-05,0,0,12,5752333,12700946,True
5372,00:00.0,0.1,1.00E-05,5,32,11,107960,391800,True
5373,00:00.0,0.2,2.00E-05,4,20,6,200483,436303,True
5374,00:00.0,0.1,1.00E-05,6,46,12,50118,132839,True
5375,00:00.0,2,2.00E-05,1,19,9,4205582,8412318,False
5376,00:00.0,0.04,4.00E-05,9,43,12,4886,10880,True
5377,00:00.0,0.04,4.00E-05,9,11,5,3372,6810,True
5378,00:00.0,0.2,2.00E-05,4,23,8,477583,967522,False
5379,00:00.0,0.4,4.00E-05,2,41,8,406835,1295228,False
5380,00:00.0,0.4,4.00E-05,2,4,3,778569,1565223,True
5381,00:00.0,0.04,4.00E-05,8,49,4,5036,10102,True
5382,00:00.0,0.2,2.00E-05,4,34,11,304113,615818,True
5383,00:00.0,0.04,4.00E-05,8,20,12,12057,26593,False
5384,00:00.0,0.04,4.00E-05,9,4,11,4740,13346,True
5385,00:00.0,0.2,2.00E-05,4,33,5,231312,548991,True
5386,00:00.0,0.1,1.00E-05,5,49,3,128249,263123,True
5387,00:00.0,0.2,2.00E-05,4,20,6,193818,481310,True
5388,00:00.0,1,1.00E-05,2,38,11,1051541,3378961,True
5389,00:00.0,0.4,4.00E-05,3,36,4,569088,1191511,True
5390,00:00.0,0.4,4.00E-05,2,10,4,592791,1370208,True
5391,00:00.0,0.04,4.00E-05,8,8,3,2219,5150,True
5392,00:00.0,2,2.00E-05,0,26,5,2394405,6447634,True
5393,00:00.0,2,2.00E-05,0,50,7,5078966,10207421,True
5394,00:00.0,0.2,2.00E-05,4,32,10,307835,712029,True
5395,00:00.0,0.04,4.00E-05,8,4,9,10634,21977,False
5396,00:00.0,0.2,2.00E-05,2,14,3,69850,605511,False
5397,00:00.0,1,1.00E-05,2,22,8,1404850,3273175,True
5398,00:00.0,0.4,4.00E-05,3,36,7,865261,1740824,False
5399,00:00.0,0.1,1.00E-05,7,50,8,36378,103570,True
5400,00:00.0,0.2,2.00E-05,4,41,5,144520,399103,True
5401,00:00.0,2,2.00E-05,0,12,3,4170570,8724918,False
5402,00:00.0,0.4,4.00E-05,3,16,10,502408,1232191,True
5403,00:00.0,0.04,4.00E-05,7,31,8,5277,63192,True
5404,00:00.0,2,2.00E-05,0,46,3,4671524,9365540,False
5405,00:00.0,0.04,4.00E-05,8,30,3,133,3472,False
5406,00:00.0,2,2.00E-05,1,5,9,3281649,6872915,False
5407,00:00.0,0.1,1.00E-05,6,6,8,137509,282126,False
5408,00:00.0,0.04,4.00E-05,7,2,5,18605,44983,True
5409,00:00.0,1,1.00E-05,2,31,3,1122718,2250798,True
5410,00:00.0,1,1.00E-05,2,16,10,1119180,3366098,True
5411,00:00.0,1,1.00E-05,2,6,9,1019675,2163917,True
5412,00:00.0,0.04,4.00E-05,8,12,4,79,3207,False
5413,00:00.0,0.04,4.00E-05,9,21,9,5123,11705,True
5414,00:00.0,0.1,1.00E-05,5,37,4,151609,310223,True
5415,00:00.0,0.1,1.00E-05,7,32,7,53591,121030,True
5416,00:00.0,0.1,1.00E-05,6,24,8,41336,96318,True
5417,00:00.0,1,1.00E-05,1,35,4,792822,2213886,False
5418,00:00.0,2,2.00E-05,1,28,9,3408400,6892454,False
5419,00:00.0,0.1,1.00E-05,7,35,9,24257,89754,True
5420,00:00.0,4,4.00E-05,0,35,12,5705584,11444250,True
5421,00:00.0,1,1.00E-05,1,41,11,518684,2713271,False
5422,00:00.0,0.4,4.00E-05,4,48,12,486923,1061380,False
5423,00:00.0,0.04,4.00E-05,8,5,10,8281,20932,True
5424,00:00.0,0.1,1.00E-05,5,17,8,124096,254903,True
5425,00:00.0,2,2.00E-05,1,28,6,2727757,5604010,True
5426,00:00.0,0.4,4.00E-05,2,3,4,895423,1974591,True
5427,00:00.0,0.04,4.00E-05,8,15,5,3345,7864,True
5428,00:00.0,2,2.00E-05,0,1,4,4991988,9991705,False
5429,00:00.0,0.04,4.00E-05,8,46,5,3987,8060,True
5430,00:00.0,0.2,2.00E-05,3,50,9,34840,215861,False
5431,00:00.0,0.1,1.00E-05,6,23,4,21418,123698,True
5432,00:00.0,0.4,4.00E-05,3,5,6,424330,982457,True
5433,00:00.0,0.2,2.00E-05,5,45,9,230058,460391,False
5434,00:00.0,0.04,4.00E-05,8,31,4,877,5230,True
5435,00:00.0,0.04,4.00E-05,7,25,10,10715,40296,False
5436,00:00.0,0.2,2.00E-05,4,3,8,406339,876437,False
5437,00:00.0,0.1,1.00E-05,5,10,3,64247,159276,True
5438,00:00.0,0.1,1.00E-05,4,2,5,73957,243304,False
5439,00:00.0,0.4,4.00E-05,2,41,6,314104,1513362,False
5440,00:00.0,0.2,2.00E-05,4,1,4,109921,434439,False
5441,00:00.0,0.04,4.00E-05,7,24,3,8389,32151,True
5442,00:00.0,0.04,4.00E-05,8,46,7,2675,5465,True
5443,00:00.0,0.04,4.00E-05,8,35,5,1986,4529,True
5444,00:00.0,4,4.00E-05,0,49,12,7866726,16806200,False
5445,00:00.0,0.04,4.00E-05,9,40,8,5690,11428,False
5446,00:00.0,1,1.00E-05,3,2,12,922493,2036439,False
5447,00:00.0,0.1,1.00E-05,7,19,5,48263,101526,True
5448,00:00.0,0.04,4.00E-05,8,6,12,9291,19611,True
5449,00:00.0,0.04,4.00E-05,8,40,8,5248,12255,True
5450,00:00.0,2,2.00E-05,0,23,4,4310430,9482162,True
5451,00:00.0,1,1.00E-05,1,7,12,524630,2884383,False
5452,00:00.0,0.1,1.00E-05,4,23,3,164884,338688,True
5453,00:00.0,2,2.00E-05,1,22,8,3053775,6585801,False
5454,00:00.0,0.1,1.00E-05,6,43,12,137899,285694,False
5455,00:00.0,0.4,4.00E-05,3,49,6,550758,1106072,True
5456,00:00.0,0.2,2.00E-05,4,3,6,286043,591969,True
5457,00:00.0,0.1,1.00E-05,6,29,11,29320,140049,False
5458,00:00.0,0.1,1.00E-05,4,21,3,39215,154090,False
5459,00:00.0,0.04,4.00E-05,9,36,12,5373,11284,True
5460,00:00.0,0.04,4.00E-05,7,46,12,8262,31684,False
5461,00:00.0,0.1,1.00E-05,5,16,4,20836,140715,False
5462,00:00.0,1,1.00E-05,2,3,6,795762,1859962,True
5463,00:00.0,4,4.00E-05,0,38,12,4159631,13167324,True
5464,00:00.0,0.04,4.00E-05,7,18,4,660,24955,False
5465,00:00.0,0.04,4.00E-05,7,15,3,36616,75594,True
5466,00:00.0,0.04,4.00E-05,7,48,12,4009,57559,False
