sample,time,window,precision,modulation,band,payload,measured
126,2018-06-07 11:12:09.623703,0.002,2.000020000200002e-08,0,30,254,0.0005303653036530366
127,2018-06-07 11:12:10.495042,0.002,2.000020000200002e-08,7,26,254,0.0005304053040530405
128,2018-06-07 11:12:11.377119,0.002,2.000020000200002e-08,2,10,254,0.0005268252682526825
129,2018-06-07 11:12:12.302662,0.002,2.000020000200002e-08,7,35,254,0.0005269452694526945
130,2018-06-07 11:12:13.175192,0.002,2.000020000200002e-08,5,8,254,0.0005268252682526825
131,2018-06-07 11:12:14.117649,0.002,2.000020000200002e-08,6,33,254,0.0005303053030530306
132,2018-06-07 11:12:15.032738,0.002,2.000020000200002e-08,3,8,254,0.0005250252502525026
133,2018-06-07 11:12:15.891060,0.002,2.000020000200002e-08,3,49,254,0.0005303053030530306
134,2018-06-07 11:12:16.757184,0.002,2.000020000200002e-08,2,16,254,0.0005293852938529386
135,2018-06-07 11:12:17.680368,0.002,2.000020000200002e-08,7,46,254,0.0005269052690526905
136,2018-06-07 11:12:18.546429,0.002,2.000020000200002e-08,6,36,254,0.0005293452934529346
137,2018-06-07 11:12:19.489075,0.002,2.000020000200002e-08,5,47,254,0.0005279052790527906
138,2018-06-07 11:12:20.434019,0.002,2.000020000200002e-08,7,45,254,0.0005303653036530366
139,2018-06-07 11:12:21.339033,0.002,2.000020000200002e-08,3,17,254,0.0005303453034530346
140,2018-06-07 11:12:22.212143,0.002,2.000020000200002e-08,7,9,254,0.0005303653036530366
141,2018-06-07 11:12:23.083341,0.002,2.000020000200002e-08,4,23,254,0.0005287452874528746
142,2018-06-07 11:12:23.952658,0.002,2.000020000200002e-08,2,35,254,0.0005269052690526905
143,2018-06-07 11:12:24.821840,0.002,2.000020000200002e-08,4,17,254,0.0005303053030530306
144,2018-06-07 11:12:25.726449,0.002,2.000020000200002e-08,8,36,254,0.0004854848548485485
145,2018-06-07 11:12:26.587023,0.002,2.000020000200002e-08,6,23,254,0.0005269052690526905
146,2018-06-07 11:12:27.454923,0.002,2.000020000200002e-08,0,42,254,0.0005275852758527586
147,2018-06-07 11:12:28.375105,0.002,2.000020000200002e-08,4,33,254,0.0005269252692526925
148,2018-06-07 11:12:29.251461,0.002,2.000020000200002e-08,1,21,254,0.0005302853028530286
149,2018-06-07 11:12:30.119293,0.002,2.000020000200002e-08,9,45,254,0.0004878648786487865
150,2018-06-07 11:12:30.996439,0.002,2.000020000200002e-08,4,46,254,0.0005287052870528706
151,2018-06-07 11:12:31.878390,0.002,2.000020000200002e-08,6,30,254,0.0005303053030530306
152,2018-06-07 11:12:32.757775,0.002,2.000020000200002e-08,7,16,254,0.0005293252932529325
153,2018-06-07 11:12:33.676041,0.002,2.000020000200002e-08,1,25,254,0.0005275452754527546
154,2018-06-07 11:12:34.559259,0.002,2.000020000200002e-08,8,26,254,0.0004852648526485265
155,2018-06-07 11:12:35.474214,0.002,2.000020000200002e-08,2,33,254,0.0005303653036530366
156,2018-06-07 11:12:36.383651,0.002,2.000020000200002e-08,2,8,254,0.0005303653036530366
157,2018-06-07 11:12:37.298036,0.002,2.000020000200002e-08,7,43,254,0.0005275852758527586
158,2018-06-07 11:12:38.172947,0.002,2.000020000200002e-08,7,20,254,0.0005302853028530286
159,2018-06-07 11:12:39.132798,0.002,2.000020000200002e-08,4,0,254,0.0005294652946529466
160,2018-06-07 11:12:40.095646,0.002,2.000020000200002e-08,9,28,254,0.0004854848548485485
161,2018-06-07 11:12:41.020968,0.002,2.000020000200002e-08,5,12,254,0.0005279252792527926
162,2018-06-07 11:12:41.938846,0.002,2.000020000200002e-08,8,5,254,0.0004878848788487885
163,2018-06-07 11:12:42.816137,0.002,2.000020000200002e-08,6,26,254,0.0005269652696526966
164,2018-06-07 11:12:43.780605,0.002,2.000020000200002e-08,2,50,254,0.0005276052760527605
165,2018-06-07 11:12:44.721392,0.002,2.000020000200002e-08,9,26,254,0.0004878848788487885
166,2018-06-07 11:12:45.592387,0.002,2.000020000200002e-08,6,51,254,0.0005302853028530286
167,2018-06-07 11:12:46.454164,0.002,2.000020000200002e-08,9,12,254,0.0004852848528485285
168,2018-06-07 11:12:47.356954,0.002,2.000020000200002e-08,9,23,254,0.0004845048450484505
169,2018-06-07 11:12:48.268225,0.002,2.000020000200002e-08,5,32,254,0.0005303053030530306
170,2018-06-07 11:12:49.151735,0.002,2.000020000200002e-08,7,32,254,0.0005304053040530405
171,2018-06-07 11:12:50.033770,0.002,2.000020000200002e-08,2,30,254,0.0005279252792527926
172,2018-06-07 11:12:50.947815,0.002,2.000020000200002e-08,5,22,254,0.0005303653036530366
173,2018-06-07 11:12:51.821879,0.002,2.000020000200002e-08,1,1,254,0.0005302853028530286
174,2018-06-07 11:12:52.702819,0.002,2.000020000200002e-08,3,49,254,0.0005294652946529466
