sample,time,window,precision,modulation,band,delay,sleep,wakeup
145,2018-06-07 10:01:10.461420,0.4,4.000040000400005e-06,6,11,0.18010450079229082,1.2000120001200014e-05,0.0004800048000480005
146,2018-06-07 10:01:11.923622,0.4,4.000040000400005e-06,5,29,0.09715033645694422,2.0000200002000023e-05,0.00048400484004840053
147,2018-06-07 10:01:13.325155,0.4,4.000040000400005e-06,2,10,0.05883539251428125,1.2000120001200014e-05,0.00048800488004880054
148,2018-06-07 10:01:14.708470,0.4,4.000040000400005e-06,2,39,0.1453902183217319,1.600016000160002e-05,0.0004800048000480005
149,2018-06-07 10:01:16.124648,0.4,4.000040000400005e-06,6,27,0.15059850076543058,1.600016000160002e-05,0.00048400484004840053
150,2018-06-07 10:01:17.583474,0.4,4.000040000400005e-06,7,12,0.0866057593738133,1.600016000160002e-05,0.00048400484004840053
151,2018-06-07 10:01:19.061275,0.4,4.000040000400005e-06,6,17,0.015389817757450986,1.600016000160002e-05,0.00048400484004840053
152,2018-06-07 10:01:20.479188,0.4,4.000040000400005e-06,4,33,0.10132379972128905,1.2000120001200014e-05,0.00048400484004840053
153,2018-06-07 10:01:21.910077,0.4,4.000040000400005e-06,0,19,0.16657751344009183,1.2000120001200014e-05,0.0004800048000480005
154,2018-06-07 10:01:23.440912,0.4,4.000040000400005e-06,2,46,0.0032316938223519998,1.600016000160002e-05,0.00048800488004880054
155,2018-06-07 10:01:24.931721,0.4,4.000040000400005e-06,1,50,0.12402676837187923,1.600016000160002e-05,0.00048400484004840053
156,2018-06-07 10:01:26.367648,0.4,4.000040000400005e-06,4,29,0.06442342524960776,1.600016000160002e-05,0.00048400484004840053
157,2018-06-07 10:01:27.874973,0.4,4.000040000400005e-06,3,33,0.15650403095848847,1.600016000160002e-05,0.00048400484004840053
158,2018-06-07 10:01:29.345267,0.4,4.000040000400005e-06,5,16,0.019402282593443922,1.600016000160002e-05,0.00048800488004880054
159,2018-06-07 10:01:30.752808,0.4,4.000040000400005e-06,1,26,0.03139856878258891,1.2000120001200014e-05,0.00048400484004840053
160,2018-06-07 10:01:32.155719,0.4,4.000040000400005e-06,6,8,0.057117252216663195,1.2000120001200014e-05,0.00048400484004840053
161,2018-06-07 10:01:33.548957,0.4,4.000040000400005e-06,4,22,0.19541344219855072,1.600016000160002e-05,0.0004800048000480005
162,2018-06-07 10:01:34.913186,0.4,4.000040000400005e-06,0,7,0.08464262557268948,1.2000120001200014e-05,0.0005120051200512006
