sample,time,window,precision,modulation,band,cad2rf,cad2done,detected
26,2018-06-06 19:31:56.902534,0.004,4.000040000400004e-08,6,35,8.500085000850009e-05,0.0024236242362423626,True
27,2018-06-06 19:31:59.454941,0.04,4.000004000004e-08,3,32,8.496008496008496e-05,0.01920537920537921,False
28,2018-06-06 19:32:02.159244,0.04,4.000004000004e-08,3,14,8.504008504008504e-05,0.019205619205619206,False
29,2018-06-06 19:32:04.666046,0.02,2.000002000002e-08,4,4,8.496008496008496e-05,0.009542969542969544,True
30,2018-06-06 19:32:07.197742,0.04,4.000004000004e-08,3,11,8.504008504008504e-05,0.019207259207259207,True
31,2018-06-06 19:32:10.198476,0.01,1.000001000001e-08,5,4,8.498008498008498e-05,0.0047735147735147735,True
32,2018-06-06 19:32:12.825947,0.04,4.000004000004e-08,3,34,8.496008496008496e-05,0.01920713920713921,True
33,2018-06-06 19:32:14.064566,0.004,4.000040000400004e-08,6,12,8.500085000850009e-05,0.0024236242362423626,True
34,2018-06-06 19:32:15.268691,0.002,2.000020000200002e-08,7,19,8.50208502085021e-05,0.0012623326233262334,False
35,2018-06-06 19:32:20.037265,0.04,4.000004000004e-08,3,46,8.496008496008496e-05,0.01920661920661921,True
36,2018-06-06 19:32:25.037266,0.04,4.000004000004e-08,3,35,8.5000085000085e-05,0.01920713920713921,True
37,2018-06-06 19:32:26.431264,0.004,4.000040000400004e-08,6,29,8.49208492084921e-05,0.0024219842198421986,False
38,2018-06-06 19:32:41.762097,0.1,2.0000004000000802e-08,2,22,8.502001700400341e-05,0.038788667757733555,False
39,2018-06-06 19:32:55.474239,0.2,4.0000008000001605e-08,0,34,8.49200169840034e-05,0.15885139177027838,False
40,2018-06-06 19:33:08.805137,0.1,2.0000004000000802e-08,2,6,8.49200169840034e-05,0.038790427758085555,True
41,2018-06-06 19:33:22.294769,0.2,4.0000008000001605e-08,0,17,8.504001700800342e-05,0.15885155177031038,False
42,2018-06-06 19:33:23.457333,0.002,2.000020000200002e-08,7,0,8.50208502085021e-05,0.0012638926389263894,True
43,2018-06-06 19:33:26.962055,0.01,1.000001000001e-08,5,10,8.498008498008498e-05,0.004775554775554776,True
44,2018-06-06 19:33:28.088687,0.004,4.000040000400004e-08,6,16,8.49208492084921e-05,0.0024222242222422226,False
45,2018-06-06 19:33:31.673615,0.02,2.000002000002e-08,4,4,8.496008496008496e-05,0.009541709541709542,False
46,2018-06-06 19:33:34.700366,0.01,1.000001000001e-08,5,17,8.498008498008498e-05,0.004774264774264775,False
47,2018-06-06 19:33:35.900913,0.004,4.000040000400004e-08,6,44,8.496084960849609e-05,0.0024222642226422266,False
48,2018-06-06 19:33:39.317149,0.01,1.000001000001e-08,5,25,8.493008493008494e-05,0.004775464775464776,True
49,2018-06-06 19:33:42.681320,0.04,4.000004000004e-08,3,28,8.5000085000085e-05,0.019205419205419207,False
50,2018-06-06 19:33:45.839291,0.02,2.000002000002e-08,4,31,8.5000085000085e-05,0.009542969542969544,True
51,2018-06-06 19:33:58.702649,0.1,2.0000004000000802e-08,2,50,8.49800169960034e-05,0.03879018775803755,True
52,2018-06-06 19:34:02.276667,0.02,2.000002000002e-08,4,14,8.5000085000085e-05,0.009541749541749543,False
53,2018-06-06 19:34:05.964663,0.01,1.000001000001e-08,5,28,8.498008498008498e-05,0.004773744773744774,False
