sample,time,window,precision,modulation,band,preamble,offset_1,offset_2,valid
91,2018-06-18 11:47:47.101910,0.04,4.004004004004004e-05,7,0,6,60819,62519,False
92,2018-06-18 11:47:48.222767,0.04,4.004004004004004e-05,8,38,5,1213,3282,True
93,2018-06-18 11:47:49.472117,0.1,1.0001000100010001e-05,6,50,8,23522,78373,True
94,2018-06-18 11:47:54.836691,2.0,2.000020000200002e-05,0,0,9,6062339,8473808,True
95,2018-06-18 11:48:00.229607,2.0,2.000020000200002e-05,0,30,10,7750313,8258174,False
96,2018-06-18 11:48:01.559281,0.2,2.0002000200020003e-05,4,24,6,412048,415518,False
97,2018-06-18 11:48:02.732413,0.04,4.004004004004004e-05,7,30,5,35946,49417,True
98,2018-06-18 11:48:03.959558,0.04,4.004004004004004e-05,8,18,11,1719,5456,True
99,2018-06-18 11:48:05.186255,0.1,1.0001000100010001e-05,5,31,9,218775,240822,False
100,2018-06-18 11:48:06.367444,0.04,4.004004004004004e-05,8,36,6,3611,6716,True
101,2018-06-18 11:48:07.888317,0.4,4.0004000400040005e-05,3,7,7,888419,895001,False
102,2018-06-18 11:48:09.216632,0.2,2.0002000200020003e-05,3,12,8,140804,184440,False
103,2018-06-18 11:48:10.457745,0.2,2.0002000200020003e-05,2,26,3,316647,676631,False
104,2018-06-18 11:48:11.691835,0.1,1.0001000100010001e-05,5,6,11,204999,206676,False
105,2018-06-18 11:48:12.862738,0.04,4.004004004004004e-05,7,35,5,30275,49121,True
106,2018-06-18 11:48:14.094006,0.1,1.0001000100010001e-05,6,33,10,46176,155317,True
107,2018-06-18 11:48:15.587321,0.4,4.0004000400040005e-05,3,41,10,992935,1137316,False
108,2018-06-18 11:48:18.602922,1.0,1.000010000100001e-05,1,27,3,562781,1901531,False
109,2018-06-18 11:48:19.858911,0.1,1.0001000100010001e-05,5,29,4,94741,160905,True
110,2018-06-18 11:48:25.269790,2.0,2.000020000200002e-05,0,22,6,3731784,4323676,True
111,2018-06-18 11:48:30.639536,2.0,2.000020000200002e-05,0,37,11,6734206,7944959,False
112,2018-06-18 11:48:31.987352,0.2,2.0002000200020003e-05,3,48,12,416875,567387,True
113,2018-06-18 11:48:34.960533,1.0,1.000010000100001e-05,0,36,6,1753772,3106948,False
114,2018-06-18 11:48:36.147560,0.04,4.004004004004004e-05,9,24,4,2977,3171,True
115,2018-06-18 11:48:37.271318,0.04,4.004004004004004e-05,8,30,7,3182,6130,True
116,2018-06-18 11:48:38.519598,0.1,1.0001000100010001e-05,6,44,10,158534,160320,False
117,2018-06-18 11:48:40.018335,0.4,4.0004000400040005e-05,2,18,9,548871,767090,True
118,2018-06-18 11:48:41.387862,0.2,2.0002000200020003e-05,4,19,9,97428,413226,False
119,2018-06-18 11:48:42.564225,0.04,4.004004004004004e-05,8,17,7,8230,8911,False
120,2018-06-18 11:48:44.075577,0.4,4.0004000400040005e-05,1,27,3,1065613,1320203,False
121,2018-06-18 11:48:47.073215,1.0,1.000010000100001e-05,2,17,11,241870,2400559,True
122,2018-06-18 11:48:48.322102,0.1,1.0001000100010001e-05,4,43,3,261374,293830,True
123,2018-06-18 11:48:49.495446,0.04,4.004004004004004e-05,9,6,2,1196,1411,True
124,2018-06-18 11:48:50.623314,0.04,4.004004004004004e-05,7,35,5,23043,42044,True
125,2018-06-18 11:48:53.582246,1.0,1.000010000100001e-05,1,20,6,2889311,3015366,False
126,2018-06-18 11:48:54.913187,0.2,2.0002000200020003e-05,3,37,8,132964,250680,False
127,2018-06-18 11:48:56.199649,0.2,2.0002000200020003e-05,3,26,8,380523,525298,True
128,2018-06-18 11:48:57.385114,0.04,4.004004004004004e-05,9,19,9,4262,4800,True
129,2018-06-18 11:48:58.886275,0.4,4.0004000400040005e-05,2,13,5,1198620,1413723,True
130,2018-06-18 11:49:00.226147,0.2,2.0002000200020003e-05,3,23,9,307560,599356,True
131,2018-06-18 11:49:01.466145,0.2,2.0002000200020003e-05,3,2,10,552399,630216,True
132,2018-06-18 11:49:02.627143,0.04,4.004004004004004e-05,8,45,8,9319,9776,False
133,2018-06-18 11:49:03.850175,0.1,1.0001000100010001e-05,5,7,8,159387,236967,True
134,2018-06-18 11:49:05.169154,0.2,2.0002000200020003e-05,3,24,9,214888,295470,False
135,2018-06-18 11:49:06.328143,0.04,4.004004004004004e-05,8,26,11,3845,6261,True
136,2018-06-18 11:49:07.447142,0.04,4.004004004004004e-05,9,13,7,3305,4868,True
137,2018-06-18 11:49:10.426450,1.0,1.000010000100001e-05,1,48,11,1314506,3583033,True
