sample,time,window,precision,modulation,band,measured
258,2018-06-07 13:28:21.212847,0.0001,1.0000100001000011e-09,2,13,4.1189411894118945e-05
259,2018-06-07 13:28:22.066414,0.0001,1.0000100001000011e-09,9,44,4.362643626436265e-05
260,2018-06-07 13:28:22.920679,0.0001,1.0000100001000011e-09,9,0,4.1188411884118845e-05
261,2018-06-07 13:28:23.768937,0.0001,1.0000100001000011e-09,5,24,4.1187411874118745e-05
262,2018-06-07 13:28:24.606884,0.0001,1.0000100001000011e-09,2,39,4.1189411894118945e-05
263,2018-06-07 13:28:25.444901,0.0001,1.0000100001000011e-09,7,26,4.1188411884118845e-05
264,2018-06-07 13:28:26.334353,0.0001,1.0000100001000011e-09,6,2,4.1188411884118845e-05
265,2018-06-07 13:28:27.214201,0.0001,1.0000100001000011e-09,4,14,4.1189411894118945e-05
266,2018-06-07 13:28:28.103438,0.0001,1.0000100001000011e-09,7,12,4.362643626436265e-05
267,2018-06-07 13:28:28.942687,0.0001,1.0000100001000011e-09,9,15,4.1188411884118845e-05
268,2018-06-07 13:28:29.787235,0.0001,1.0000100001000011e-09,2,21,4.289742897428975e-05
269,2018-06-07 13:28:30.621445,0.0001,1.0000100001000011e-09,1,17,4.1187411874118745e-05
270,2018-06-07 13:28:31.459123,0.0001,1.0000100001000011e-09,7,34,4.1188411884118845e-05
271,2018-06-07 13:28:32.297636,0.0001,1.0000100001000011e-09,8,6,4.1188411884118845e-05
272,2018-06-07 13:28:33.143808,0.0001,1.0000100001000011e-09,4,27,4.362743627436275e-05
273,2018-06-07 13:28:34.032814,0.0001,1.0000100001000011e-09,2,42,4.362643626436265e-05
