sample,time,window,precision,modulation,rx2rxtimeout
167,2018-05-31 20:23:15.465837,1.0,2.00000040000008e-07,1,0.22863024572604915
168,2018-05-31 20:23:17.735051,0.2,2.000002000002e-07,3,0.05724805724805725
169,2018-05-31 20:23:19.997205,0.2,2.000002000002e-07,3,0.05724965724965725
170,2018-05-31 20:23:20.907353,0.002,2.0002000200020003e-07,9,0.0006082608260826083
171,2018-05-31 20:23:21.748803,0.002,2.0002000200020003e-07,8,0.0008648864886488649
172,2018-05-31 20:23:22.600425,0.002,2.0002000200020003e-07,9,0.0005974597459745975
173,2018-05-31 20:23:23.457489,0.002,2.0002000200020003e-07,9,0.0005966596659665967
174,2018-05-31 20:23:26.094854,0.4,4.000004000004e-07,2,0.11440371440371441
175,2018-05-31 20:23:26.999652,0.002,2.0002000200020003e-07,9,0.0005984598459845985
176,2018-05-31 20:23:27.858699,0.002,2.0002000200020003e-07,8,0.0008706870687068707
177,2018-05-31 20:23:30.319564,0.2,2.000002000002e-07,3,0.057264657264657265
178,2018-05-31 20:23:31.321597,0.04,4.0000400004000043e-07,6,0.00933169331693317
179,2018-05-31 20:23:41.367646,2.0,4.00000080000016e-07,0,0.4570916914183383
180,2018-05-31 20:23:42.277961,0.002,2.0002000200020003e-07,9,0.0006016601660166017
181,2018-05-31 20:23:44.594441,0.4,4.000004000004e-07,2,0.11441131441131441
182,2018-05-31 20:23:45.498709,0.002,2.0002000200020003e-07,9,0.0006012601260126012
183,2018-05-31 20:23:46.536528,0.04,4.0000400004000043e-07,5,0.014435744357443575
184,2018-05-31 20:23:47.512853,0.04,4.0000400004000043e-07,5,0.014433344333443336
185,2018-05-31 20:23:49.865613,0.4,4.000004000004e-07,2,0.11436931436931437
186,2018-05-31 20:23:50.977357,0.04,4.0000400004000043e-07,5,0.014424144241442416
187,2018-05-31 20:24:00.088657,1.0,2.00000040000008e-07,1,0.22850524570104913
188,2018-05-31 20:24:00.998345,0.002,2.0002000200020003e-07,8,0.0008756875687568757
189,2018-05-31 20:24:02.017296,0.04,4.0000400004000043e-07,6,0.00932809328093281
190,2018-05-31 20:24:04.432504,0.2,2.000002000002e-07,3,0.0572966572966573
191,2018-05-31 20:24:06.848262,0.1,1.000001000001e-07,4,0.028716528716528716
192,2018-05-31 20:24:08.012091,0.04,4.0000400004000043e-07,6,0.00932929329293293
193,2018-05-31 20:24:09.134205,0.04,4.0000400004000043e-07,5,0.014435744357443575
194,2018-05-31 20:24:10.129197,0.04,4.0000400004000043e-07,5,0.014439344393443935
195,2018-05-31 20:24:11.141740,0.02,2.0000200002000021e-07,7,0.004744847448474485
196,2018-05-31 20:24:13.907325,0.1,1.000001000001e-07,4,0.028699828699828702
197,2018-05-31 20:24:14.808869,0.002,2.0002000200020003e-07,9,0.0006038603860386039
198,2018-05-31 20:24:15.858844,0.04,4.0000400004000043e-07,5,0.014443344433444336
199,2018-05-31 20:24:16.802890,0.002,2.0002000200020003e-07,8,0.0008670867086708671
200,2018-05-31 20:24:19.245795,0.4,4.000004000004e-07,2,0.1143929143929144
201,2018-05-31 20:24:21.754905,0.4,4.000004000004e-07,2,0.11437731437731438
202,2018-05-31 20:24:31.045856,1.0,2.00000040000008e-07,1,0.22856764571352914
203,2018-05-31 20:24:32.042085,0.04,4.0000400004000043e-07,6,0.00932809328093281
204,2018-05-31 20:24:40.746651,1.0,2.00000040000008e-07,1,0.22865844573168914
205,2018-05-31 20:24:41.866635,0.04,4.0000400004000043e-07,6,0.00932929329293293
206,2018-05-31 20:24:52.524373,2.0,4.00000080000016e-07,0,0.45698249139649827
207,2018-05-31 20:24:53.462166,0.002,2.0002000200020003e-07,9,0.000609060906090609
208,2018-05-31 20:24:55.771130,0.4,4.000004000004e-07,2,0.11437531437531438
209,2018-05-31 20:24:56.713833,0.002,2.0002000200020003e-07,8,0.0008702870287028703
210,2018-05-31 20:24:57.790124,0.04,4.0000400004000043e-07,6,0.00934009340093401
211,2018-05-31 20:25:00.107398,0.1,1.000001000001e-07,4,0.02870932870932871
212,2018-05-31 20:25:02.597630,0.2,2.000002000002e-07,3,0.057295857295857296
213,2018-05-31 20:25:03.608465,0.02,2.0000200002000021e-07,7,0.0047372473724737255
214,2018-05-31 20:25:04.515393,0.002,2.0002000200020003e-07,8,0.0008724872487248725
215,2018-05-31 20:25:07.067484,0.2,2.000002000002e-07,3,0.05728365728365729
216,2018-05-31 20:25:08.174602,0.04,4.0000400004000043e-07,5,0.014430144301443015
217,2018-05-31 20:25:10.421534,0.2,2.000002000002e-07,3,0.05727225727225727
218,2018-05-31 20:25:11.425839,0.04,4.0000400004000043e-07,5,0.014445344453444536
219,2018-05-31 20:25:20.415532,1.0,2.00000040000008e-07,1,0.22856984571396913
220,2018-05-31 20:25:21.484942,0.02,2.0000200002000021e-07,7,0.004746247462474625
221,2018-05-31 20:25:22.452259,0.04,4.0000400004000043e-07,6,0.00933609336093361
222,2018-05-31 20:25:24.938298,0.2,2.000002000002e-07,3,0.05725005725005725
223,2018-05-31 20:25:35.333695,2.0,4.00000080000016e-07,0,0.45695049139009825
224,2018-05-31 20:25:36.448996,0.04,4.0000400004000043e-07,6,0.00932529325293253
225,2018-05-31 20:25:37.395915,0.002,2.0002000200020003e-07,9,0.0006070607060706071
226,2018-05-31 20:25:38.255521,0.002,2.0002000200020003e-07,9,0.0006104610461046104
227,2018-05-31 20:25:39.294110,0.04,4.0000400004000043e-07,6,0.00932809328093281
228,2018-05-31 20:25:49.382984,2.0,4.00000080000016e-07,0,0.45698049139609825
229,2018-05-31 20:25:50.478612,0.04,4.0000400004000043e-07,6,0.00933249332493325
230,2018-05-31 20:25:51.387918,0.002,2.0002000200020003e-07,9,0.0005968596859685969
231,2018-05-31 20:25:52.398735,0.04,4.0000400004000043e-07,6,0.00933089330893309
232,2018-05-31 20:25:53.318509,0.04,4.0000400004000043e-07,5,0.014445344453444536
233,2018-05-31 20:26:02.448161,1.0,2.00000040000008e-07,1,0.22851824570364915
234,2018-05-31 20:26:03.571180,0.04,4.0000400004000043e-07,5,0.014441744417444176
235,2018-05-31 20:26:05.957437,0.4,4.000004000004e-07,2,0.1144033144033144
236,2018-05-31 20:26:07.058915,0.02,2.0000200002000021e-07,7,0.004738247382473825
237,2018-05-31 20:26:08.029738,0.04,4.0000400004000043e-07,5,0.014425344253442536
238,2018-05-31 20:26:16.910245,1.0,2.00000040000008e-07,1,0.22860524572104915
239,2018-05-31 20:26:27.197268,2.0,4.00000080000016e-07,0,0.45692249138449825
240,2018-05-31 20:26:28.149737,0.002,2.0002000200020003e-07,9,0.0006098609860986099
241,2018-05-31 20:26:29.201349,0.02,2.0000200002000021e-07,7,0.004742847428474285
242,2018-05-31 20:26:30.191271,0.04,4.0000400004000043e-07,6,0.00932729327293273
243,2018-05-31 20:26:31.129125,0.04,4.0000400004000043e-07,6,0.00932809328093281
244,2018-05-31 20:26:40.057540,1.0,2.00000040000008e-07,1,0.22855184571036913
245,2018-05-31 20:26:40.968826,0.002,2.0002000200020003e-07,8,0.0008712871287128713
246,2018-05-31 20:26:51.511860,2.0,4.00000080000016e-07,0,0.4569988913997783
247,2018-05-31 20:26:52.555734,0.04,4.0000400004000043e-07,6,0.00933569335693357
248,2018-05-31 20:27:01.585218,1.0,2.00000040000008e-07,1,0.22863644572728914
249,2018-05-31 20:27:04.025744,0.2,2.000002000002e-07,3,0.057271857271857275
250,2018-05-31 20:27:14.601202,2.0,4.00000080000016e-07,0,0.45696049139209827
251,2018-05-31 20:27:17.070755,0.2,2.000002000002e-07,3,0.057265657265657265
252,2018-05-31 20:27:18.102555,0.04,4.0000400004000043e-07,6,0.00933849338493385
253,2018-05-31 20:27:20.386748,0.1,1.000001000001e-07,4,0.028723528723528725
254,2018-05-31 20:27:21.404157,0.04,4.0000400004000043e-07,6,0.00932889328893289
255,2018-05-31 20:27:22.368841,0.02,2.0000200002000021e-07,7,0.004741047410474105
256,2018-05-31 20:27:23.272958,0.002,2.0002000200020003e-07,9,0.0006048604860486048
257,2018-05-31 20:27:25.779332,0.4,4.000004000004e-07,2,0.11437211437211438
258,2018-05-31 20:27:28.206129,0.2,2.000002000002e-07,3,0.05726725726725727
259,2018-05-31 20:27:30.701651,0.1,1.000001000001e-07,4,0.02871882871882872
260,2018-05-31 20:27:40.401399,1.0,2.00000040000008e-07,1,0.22864464572892915
261,2018-05-31 20:27:43.218284,0.2,2.000002000002e-07,3,0.0573018573018573
262,2018-05-31 20:27:44.445375,0.04,4.0000400004000043e-07,5,0.014438544385443855
263,2018-05-31 20:27:54.615875,2.0,4.00000080000016e-07,0,0.45708169141633825
264,2018-05-31 20:27:55.654189,0.04,4.0000400004000043e-07,5,0.014432944329443295
265,2018-05-31 20:27:58.033987,0.2,2.000002000002e-07,3,0.057280857280857286
266,2018-05-31 20:27:59.063626,0.02,2.0000200002000021e-07,7,0.004739847398473985
267,2018-05-31 20:28:01.601481,0.4,4.000004000004e-07,2,0.1143961143961144
268,2018-05-31 20:28:02.800697,0.04,4.0000400004000043e-07,6,0.00934129341293413
